ticker,year,mda_len,notes_len,esg_len,mda_path,notes_path,esg_path,status,pdf_url
BID,2025,107050,65240,53948,data/text/extracted_text/BID_2025_MDA.txt,data/text/extracted_text/BID_2025_NOTES.txt,data/text/extracted_text/BID_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/BID_Baocaothuongnien_2025.pdf
CII,2025,0,0,0,data/text/extracted_text/CII_2025_MDA.txt,data/text/extracted_text/CII_2025_NOTES.txt,data/text/extracted_text/CII_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/CII_Baocaothuongnien_2025.pdf
CTG,2025,96603,188614,18074,data/text/extracted_text/CTG_2025_MDA.txt,data/text/extracted_text/CTG_2025_NOTES.txt,data/text/extracted_text/CTG_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/CTG_Baocaothuongnien_2025.pdf
DCM,2025,0,0,0,data/text/extracted_text/DCM_2025_MDA.txt,data/text/extracted_text/DCM_2025_NOTES.txt,data/text/extracted_text/DCM_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/DCM_Baocaothuongnien_2025.pdf
DGC,2025,0,0,0,data/text/extracted_text/DGC_2025_MDA.txt,data/text/extracted_text/DGC_2025_NOTES.txt,data/text/extracted_text/DGC_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/DGC_Baocaothuongnien_2025.pdf
DXG,2025,98104,131710,6752,data/text/extracted_text/DXG_2025_MDA.txt,data/text/extracted_text/DXG_2025_NOTES.txt,data/text/extracted_text/DXG_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/DXG_Baocaothuongnien_2025.pdf
FPT,2025,59570,144256,55554,data/text/extracted_text/FPT_2025_MDA.txt,data/text/extracted_text/FPT_2025_NOTES.txt,data/text/extracted_text/FPT_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/FPT_Baocaothuongnien_2025.pdf
FRT,2025,90415,0,34264,data/text/extracted_text/FRT_2025_MDA.txt,data/text/extracted_text/FRT_2025_NOTES.txt,data/text/extracted_text/FRT_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/FRT_Baocaothuongnien_2025.pdf
GAS,2025,0,0,0,data/text/extracted_text/GAS_2025_MDA.txt,data/text/extracted_text/GAS_2025_NOTES.txt,data/text/extracted_text/GAS_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/GAS_Baocaothuongnien_2025.pdf
GMD,2025,121662,29944,55584,data/text/extracted_text/GMD_2025_MDA.txt,data/text/extracted_text/GMD_2025_NOTES.txt,data/text/extracted_text/GMD_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/GMD_Baocaothuongnien_2025.pdf
HAH,2025,19716,0,0,data/text/extracted_text/HAH_2025_MDA.txt,data/text/extracted_text/HAH_2025_NOTES.txt,data/text/extracted_text/HAH_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/HAH_Baocaothuongnien_2025.pdf
HSG,2025,127379,0,18176,data/text/extracted_text/HSG_2025_MDA.txt,data/text/extracted_text/HSG_2025_NOTES.txt,data/text/extracted_text/HSG_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/HSG_Baocaothuongnien_2025.pdf
KDH,2025,49576,141200,17950,data/text/extracted_text/KDH_2025_MDA.txt,data/text/extracted_text/KDH_2025_NOTES.txt,data/text/extracted_text/KDH_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/KDH_Baocaothuongnien_2025.pdf
LPB,2025,0,0,0,data/text/extracted_text/LPB_2025_MDA.txt,data/text/extracted_text/LPB_2025_NOTES.txt,data/text/extracted_text/LPB_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/LPB_Baocaothuongnien_2025.pdf
MBB,2025,133899,190272,78679,data/text/extracted_text/MBB_2025_MDA.txt,data/text/extracted_text/MBB_2025_NOTES.txt,data/text/extracted_text/MBB_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/MBB_Baocaothuongnien_2025.pdf
MSN,2025,106470,204372,31115,data/text/extracted_text/MSN_2025_MDA.txt,data/text/extracted_text/MSN_2025_NOTES.txt,data/text/extracted_text/MSN_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/MSN_Baocaothuongnien_2025.pdf
MWG,2025,46527,0,35994,data/text/extracted_text/MWG_2025_MDA.txt,data/text/extracted_text/MWG_2025_NOTES.txt,data/text/extracted_text/MWG_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/MWG_Baocaothuongnien_2025.pdf
NKG,2025,72309,0,14542,data/text/extracted_text/NKG_2025_MDA.txt,data/text/extracted_text/NKG_2025_NOTES.txt,data/text/extracted_text/NKG_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/NKG_Baocaothuongnien_2025.pdf
PDR,2025,77965,99426,60692,data/text/extracted_text/PDR_2025_MDA.txt,data/text/extracted_text/PDR_2025_NOTES.txt,data/text/extracted_text/PDR_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/PDR_Baocaothuongnien_2025.pdf
PLX,2025,72820,126421,12400,data/text/extracted_text/PLX_2025_MDA.txt,data/text/extracted_text/PLX_2025_NOTES.txt,data/text/extracted_text/PLX_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/PLX_Baocaothuongnien_2025.pdf
PNJ,2025,91878,91116,66572,data/text/extracted_text/PNJ_2025_MDA.txt,data/text/extracted_text/PNJ_2025_NOTES.txt,data/text/extracted_text/PNJ_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/PNJ_Baocaothuongnien_2025.pdf
POW,2025,0,0,0,data/text/extracted_text/POW_2025_MDA.txt,data/text/extracted_text/POW_2025_NOTES.txt,data/text/extracted_text/POW_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/POW_Baocaothuongnien_2025.pdf
PVD,2025,0,0,0,data/text/extracted_text/PVD_2025_MDA.txt,data/text/extracted_text/PVD_2025_NOTES.txt,data/text/extracted_text/PVD_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/PVD_Baocaothuongnien_2025.pdf
STB,2025,91268,162278,40672,data/text/extracted_text/STB_2025_MDA.txt,data/text/extracted_text/STB_2025_NOTES.txt,data/text/extracted_text/STB_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/STB_Baocaothuongnien_2025.pdf
TCB,2025,104583,190286,90452,data/text/extracted_text/TCB_2025_MDA.txt,data/text/extracted_text/TCB_2025_NOTES.txt,data/text/extracted_text/TCB_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/TCB_Baocaothuongnien_2025.pdf
VCI,2025,80390,163675,18578,data/text/extracted_text/VCI_2025_MDA.txt,data/text/extracted_text/VCI_2025_NOTES.txt,data/text/extracted_text/VCI_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/VCI_Baocaothuongnien_2025.pdf
VHM,2025,85247,194776,43059,data/text/extracted_text/VHM_2025_MDA.txt,data/text/extracted_text/VHM_2025_NOTES.txt,data/text/extracted_text/VHM_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/VHM_Baocaothuongnien_2025.pdf
VIB,2025,0,0,0,data/text/extracted_text/VIB_2025_MDA.txt,data/text/extracted_text/VIB_2025_NOTES.txt,data/text/extracted_text/VIB_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/VIB_Baocaothuongnien_2025.pdf
VIC,2025,17480,0,0,data/text/extracted_text/VIC_2025_MDA.txt,data/text/extracted_text/VIC_2025_NOTES.txt,data/text/extracted_text/VIC_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/VIC_Baocaothuongnien_2025.pdf
VND,2025,0,0,0,data/text/extracted_text/VND_2025_MDA.txt,data/text/extracted_text/VND_2025_NOTES.txt,data/text/extracted_text/VND_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/VND_Baocaothuongnien_2025.pdf
VNM,2025,105203,9045,74398,data/text/extracted_text/VNM_2025_MDA.txt,data/text/extracted_text/VNM_2025_NOTES.txt,data/text/extracted_text/VNM_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/VNM_Baocaothuongnien_2025.pdf
VPB,2025,103698,0,33787,data/text/extracted_text/VPB_2025_MDA.txt,data/text/extracted_text/VPB_2025_NOTES.txt,data/text/extracted_text/VPB_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/VPB_Baocaothuongnien_2025.pdf
VRE,2025,78184,162949,77307,data/text/extracted_text/VRE_2025_MDA.txt,data/text/extracted_text/VRE_2025_NOTES.txt,data/text/extracted_text/VRE_2025_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2025/BCTN/VN/VRE_Baocaothuongnien_2025.pdf
ACB,2024,0,0,0,data/text/extracted_text/ACB_2024_MDA.txt,data/text/extracted_text/ACB_2024_NOTES.txt,data/text/extracted_text/ACB_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/ACB_Baocaothuongnien_2024.pdf
BVH,2024,54689,247140,51947,data/text/extracted_text/BVH_2024_MDA.txt,data/text/extracted_text/BVH_2024_NOTES.txt,data/text/extracted_text/BVH_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/BVH_Baocaothuongnien_2024.pdf
CTG,2024,101927,172254,0,data/text/extracted_text/CTG_2024_MDA.txt,data/text/extracted_text/CTG_2024_NOTES.txt,data/text/extracted_text/CTG_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/CTG_Baocaothuongnien_2024.pdf
DCM,2024,0,0,0,data/text/extracted_text/DCM_2024_MDA.txt,data/text/extracted_text/DCM_2024_NOTES.txt,data/text/extracted_text/DCM_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/DCM_Baocaothuongnien_2024.pdf
DGC,2024,0,0,0,data/text/extracted_text/DGC_2024_MDA.txt,data/text/extracted_text/DGC_2024_NOTES.txt,data/text/extracted_text/DGC_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/DGC_Baocaothuongnien_2024.pdf
DXG,2024,63137,115803,4099,data/text/extracted_text/DXG_2024_MDA.txt,data/text/extracted_text/DXG_2024_NOTES.txt,data/text/extracted_text/DXG_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/DXG_Baocaothuongnien_2024.pdf
FPT,2024,66972,135647,56899,data/text/extracted_text/FPT_2024_MDA.txt,data/text/extracted_text/FPT_2024_NOTES.txt,data/text/extracted_text/FPT_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/FPT_Baocaothuongnien_2024.pdf
FRT,2024,87228,0,24658,data/text/extracted_text/FRT_2024_MDA.txt,data/text/extracted_text/FRT_2024_NOTES.txt,data/text/extracted_text/FRT_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/FRT_Baocaothuongnien_2024.pdf
GAS,2024,0,0,0,data/text/extracted_text/GAS_2024_MDA.txt,data/text/extracted_text/GAS_2024_NOTES.txt,data/text/extracted_text/GAS_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/GAS_Baocaothuongnien_2024.pdf
GMD,2024,106996,0,33802,data/text/extracted_text/GMD_2024_MDA.txt,data/text/extracted_text/GMD_2024_NOTES.txt,data/text/extracted_text/GMD_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/GMD_Baocaothuongnien_2024.pdf
HAG,2024,24914,1122,0,data/text/extracted_text/HAG_2024_MDA.txt,data/text/extracted_text/HAG_2024_NOTES.txt,data/text/extracted_text/HAG_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/HAG_Baocaothuongnien_2024.pdf
HAH,2024,13772,0,0,data/text/extracted_text/HAH_2024_MDA.txt,data/text/extracted_text/HAH_2024_NOTES.txt,data/text/extracted_text/HAH_2024_ESG.txt,extracted,https://static2.vietstock.vn/data/HOSE/2024/BCTN/VN/HAH_Baocaothuongnien_2024.pdf
