time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,17.36,17.36,16.88,16.91,805700,BID
2019-01-03 07:00:00,16.91,17.06,16.15,16.15,1107500,BID
2019-01-04 07:00:00,15.9,16.13,15.54,15.92,1457300,BID
2019-01-07 07:00:00,16.15,16.66,16.15,16.3,806060,BID
2019-01-08 07:00:00,16.45,16.45,16.1,16.15,558540,BID
2019-01-09 07:00:00,16.3,16.68,16.2,16.66,1075730,BID
2019-01-10 07:00:00,16.66,16.71,16.4,16.4,410690,BID
2019-01-11 07:00:00,16.4,16.56,16.08,16.1,941940,BID
2019-01-14 07:00:00,16.1,16.33,15.87,16.1,755920,BID
2019-01-15 07:00:00,16.02,16.56,16.02,16.4,580710,BID
2019-01-16 07:00:00,16.5,16.53,16.25,16.25,363680,BID
2019-01-17 07:00:00,16.25,16.35,16.1,16.13,297560,BID
2019-01-18 07:00:00,16.13,16.3,15.97,16.0,509140,BID
2019-01-21 07:00:00,16.15,16.83,16.0,16.58,1207560,BID
2019-01-22 07:00:00,16.6,16.71,16.5,16.53,563940,BID
2019-01-23 07:00:00,16.35,16.58,16.2,16.5,457760,BID
2019-01-24 07:00:00,16.43,16.58,16.4,16.4,579540,BID
2019-01-25 07:00:00,16.5,16.5,16.15,16.18,570980,BID
2019-01-28 07:00:00,16.18,16.33,16.05,16.1,545190,BID
2019-01-29 07:00:00,16.1,16.1,15.92,16.0,635890,BID
2019-01-30 07:00:00,16.1,16.28,15.95,16.0,429410,BID
2019-01-31 07:00:00,16.25,16.25,15.9,15.9,678130,BID
2019-02-01 07:00:00,15.87,16.08,15.85,15.95,537050,BID
2019-02-11 07:00:00,16.08,16.28,16.05,16.13,631710,BID
2019-02-12 07:00:00,16.18,16.5,16.18,16.38,1395780,BID
2019-02-13 07:00:00,16.43,16.45,16.28,16.4,1557810,BID
2019-02-14 07:00:00,16.4,16.43,16.33,16.35,1018550,BID
2019-02-15 07:00:00,16.33,17.06,16.2,16.73,1622530,BID
2019-02-18 07:00:00,16.91,17.01,16.76,16.91,955540,BID
2019-02-19 07:00:00,16.91,17.03,16.6,16.6,1143130,BID
2019-02-20 07:00:00,16.56,17.61,16.48,17.16,2361110,BID
2019-02-21 07:00:00,17.29,17.49,17.16,17.29,2157870,BID
2019-02-22 07:00:00,17.26,17.51,17.16,17.16,1459730,BID
2019-02-25 07:00:00,17.41,17.41,17.01,17.16,1687500,BID
2019-02-26 07:00:00,17.01,17.16,16.91,16.96,1409740,BID
2019-02-27 07:00:00,16.96,17.14,16.91,16.96,749060,BID
2019-02-28 07:00:00,16.96,17.03,16.4,16.4,1793480,BID
2019-03-01 07:00:00,16.45,16.71,16.45,16.58,1153130,BID
2019-03-04 07:00:00,16.71,17.03,16.66,16.96,918340,BID
2019-03-05 07:00:00,16.76,17.82,16.76,17.46,4215640,BID
2019-03-06 07:00:00,17.46,17.61,17.36,17.54,1601660,BID
2019-03-07 07:00:00,17.66,17.79,17.51,17.61,1702650,BID
2019-03-08 07:00:00,17.39,17.51,17.11,17.16,1808960,BID
2019-03-11 07:00:00,17.21,17.21,16.88,16.98,1137250,BID
2019-03-12 07:00:00,17.21,17.92,17.06,17.92,1690500,BID
2019-03-13 07:00:00,17.82,18.14,17.77,17.97,2860920,BID
2019-03-14 07:00:00,17.97,18.52,17.77,18.27,2651040,BID
2019-03-15 07:00:00,18.27,18.93,18.12,18.77,3180240,BID
2019-03-18 07:00:00,18.77,18.98,18.62,18.83,2925810,BID
2019-03-19 07:00:00,18.75,18.83,18.42,18.47,2819110,BID
2019-03-20 07:00:00,18.24,18.42,17.92,18.22,2700620,BID
2019-03-21 07:00:00,18.3,18.5,17.56,17.56,2239650,BID
