time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,6.06,6.18,6.0,6.0,481710,DCM
2019-01-03 07:00:00,6.0,6.0,5.82,5.82,1384180,DCM
2019-01-04 07:00:00,5.81,5.88,5.7,5.85,673990,DCM
2019-01-07 07:00:00,5.94,5.94,5.87,5.87,276210,DCM
2019-01-08 07:00:00,5.88,5.91,5.82,5.82,294670,DCM
2019-01-09 07:00:00,5.83,5.88,5.83,5.83,541480,DCM
2019-01-10 07:00:00,5.86,5.86,5.81,5.81,427930,DCM
2019-01-11 07:00:00,5.82,5.82,5.79,5.81,564320,DCM
2019-01-14 07:00:00,5.87,5.87,5.76,5.81,93070,DCM
2019-01-15 07:00:00,5.81,5.81,5.75,5.75,717230,DCM
2019-01-16 07:00:00,5.76,5.82,5.72,5.74,292920,DCM
2019-01-17 07:00:00,5.79,5.79,5.73,5.74,409250,DCM
2019-01-18 07:00:00,5.74,5.75,5.62,5.65,725120,DCM
2019-01-21 07:00:00,5.63,5.65,5.49,5.52,1313750,DCM
2019-01-22 07:00:00,5.52,5.52,5.47,5.5,801060,DCM
2019-01-23 07:00:00,5.5,5.5,5.37,5.42,817880,DCM
2019-01-24 07:00:00,5.37,5.52,5.37,5.5,852990,DCM
2019-01-25 07:00:00,5.51,5.52,5.39,5.4,538630,DCM
2019-01-28 07:00:00,5.4,5.46,5.4,5.41,267620,DCM
2019-01-29 07:00:00,5.42,5.42,5.34,5.37,1020820,DCM
2019-01-30 07:00:00,5.37,5.39,5.26,5.32,750100,DCM
2019-01-31 07:00:00,5.33,5.34,5.28,5.28,340810,DCM
2019-02-01 07:00:00,5.27,5.3,5.24,5.24,644980,DCM
2019-02-11 07:00:00,5.24,5.26,5.12,5.19,1589210,DCM
2019-02-12 07:00:00,5.23,5.33,5.2,5.33,790350,DCM
2019-02-13 07:00:00,5.37,5.49,5.37,5.46,1255810,DCM
2019-02-14 07:00:00,5.45,5.46,5.43,5.44,796900,DCM
2019-02-15 07:00:00,5.43,5.43,5.39,5.4,1148140,DCM
2019-02-18 07:00:00,5.4,5.45,5.4,5.45,631460,DCM
2019-02-19 07:00:00,5.48,5.53,5.4,5.44,948110,DCM
2019-02-20 07:00:00,5.43,5.46,5.4,5.42,437680,DCM
2019-02-21 07:00:00,5.4,5.44,5.3,5.31,1441030,DCM
2019-02-22 07:00:00,5.28,5.46,5.28,5.42,821720,DCM
2019-02-25 07:00:00,5.45,5.46,5.39,5.4,453480,DCM
2019-02-26 07:00:00,5.4,5.41,5.34,5.37,598490,DCM
2019-02-27 07:00:00,5.4,5.4,5.34,5.34,477510,DCM
2019-02-28 07:00:00,5.34,5.36,5.32,5.32,307730,DCM
2019-03-01 07:00:00,5.32,5.34,5.31,5.34,552060,DCM
2019-03-04 07:00:00,5.34,5.48,5.33,5.48,1236420,DCM
2019-03-05 07:00:00,5.48,5.61,5.46,5.54,1282400,DCM
2019-03-06 07:00:00,5.53,5.58,5.47,5.49,425850,DCM
2019-03-07 07:00:00,5.49,5.49,5.42,5.43,926640,DCM
2019-03-08 07:00:00,5.43,5.48,5.4,5.46,542180,DCM
2019-03-11 07:00:00,5.5,5.5,5.42,5.44,223730,DCM
2019-03-12 07:00:00,5.46,5.51,5.44,5.48,642380,DCM
2019-03-13 07:00:00,5.5,5.51,5.46,5.46,414220,DCM
2019-03-14 07:00:00,5.46,5.49,5.44,5.47,321010,DCM
2019-03-15 07:00:00,5.46,5.58,5.45,5.51,725710,DCM
2019-03-18 07:00:00,5.53,5.68,5.52,5.66,2024450,DCM
2019-03-19 07:00:00,5.68,5.68,5.52,5.58,1056920,DCM
2019-03-20 07:00:00,5.58,5.58,5.49,5.53,550670,DCM
2019-03-21 07:00:00,5.53,5.53,5.42,5.42,1267590,DCM
2019-03-22 07:00:00,5.42,5.46,5.38,5.4,704720,DCM
2019-03-25 07:00:00,5.35,5.39,5.33,5.34,776690,DCM
2019-03-26 07:00:00,5.34,5.4,5.33,5.33,244260,DCM
2019-03-27 07:00:00,5.33,5.39,5.33,5.37,258190,DCM
2019-03-28 07:00:00,5.37,5.42,5.34,5.34,195410,DCM
2019-03-29 07:00:00,5.38,5.38,5.34,5.34,218480,DCM
2019-04-01 07:00:00,5.36,5.39,5.34,5.37,176260,DCM
2019-04-02 07:00:00,5.38,5.49,5.38,5.43,582870,DCM
2019-04-03 07:00:00,5.43,5.43,5.38,5.38,573840,DCM
2019-04-04 07:00:00,5.43,5.43,5.39,5.41,615970,DCM
2019-04-05 07:00:00,5.43,5.43,5.37,5.41,150880,DCM
2019-04-08 07:00:00,5.43,5.43,5.37,5.37,381900,DCM
2019-04-09 07:00:00,5.37,5.4,5.34,5.34,494660,DCM
2019-04-10 07:00:00,5.34,5.39,5.33,5.34,315900,DCM
2019-04-11 07:00:00,5.34,5.37,5.33,5.34,218380,DCM
2019-04-12 07:00:00,5.34,5.37,5.33,5.33,167220,DCM
2019-04-16 07:00:00,5.34,5.34,5.26,5.27,639490,DCM
2019-04-17 07:00:00,5.26,5.27,5.21,5.21,685330,DCM
2019-04-18 07:00:00,5.22,5.22,5.17,5.17,380430,DCM
2019-04-19 07:00:00,5.17,5.23,5.16,5.2,326410,DCM
2019-04-22 07:00:00,5.2,5.21,5.14,5.14,166290,DCM
2019-04-23 07:00:00,5.14,5.22,5.14,5.18,99400,DCM
2019-04-24 07:00:00,5.18,5.22,5.18,5.21,207820,DCM
2019-04-25 07:00:00,5.2,5.23,5.18,5.18,89910,DCM
2019-04-26 07:00:00,5.18,5.26,5.18,5.2,273400,DCM
2019-05-02 07:00:00,5.2,5.23,5.11,5.11,564920,DCM
2019-05-03 07:00:00,4.99,5.1,4.99,5.03,765240,DCM
2019-05-06 07:00:00,5.03,5.03,4.98,5.01,648060,DCM
2019-05-07 07:00:00,4.99,5.06,4.99,5.03,157950,DCM
2019-05-08 07:00:00,5.02,5.02,4.98,4.98,149270,DCM
2019-05-09 07:00:00,4.98,5.03,4.98,4.99,138020,DCM
2019-05-10 07:00:00,5.02,5.02,4.98,5.01,184470,DCM
2019-05-13 07:00:00,5.01,5.23,5.0,5.08,257400,DCM
2019-05-14 07:00:00,5.08,5.08,5.02,5.04,142760,DCM
2019-05-15 07:00:00,5.07,5.1,5.04,5.08,350240,DCM
2019-05-16 07:00:00,5.11,5.11,5.06,5.09,134930,DCM
2019-05-17 07:00:00,5.09,5.11,5.08,5.08,184800,DCM
2019-05-20 07:00:00,5.08,5.14,5.06,5.12,308250,DCM
2019-05-21 07:00:00,5.12,5.13,5.11,5.11,210620,DCM
2019-05-22 07:00:00,5.11,5.2,5.08,5.11,418670,DCM
2019-05-23 07:00:00,5.1,5.14,5.08,5.13,112540,DCM
2019-05-24 07:00:00,5.13,5.14,5.08,5.09,177550,DCM
2019-05-27 07:00:00,5.12,5.12,5.04,5.05,227080,DCM
2019-05-28 07:00:00,5.04,5.09,5.02,5.04,184020,DCM
2019-05-29 07:00:00,5.04,5.1,5.03,5.08,176840,DCM
2019-05-30 07:00:00,5.07,5.09,5.05,5.07,58760,DCM
2019-05-31 07:00:00,5.06,5.07,5.02,5.05,157530,DCM
2019-06-03 07:00:00,5.05,5.06,4.98,4.98,257270,DCM
2019-06-04 07:00:00,4.98,4.99,4.95,4.98,517370,DCM
2019-06-05 07:00:00,4.98,5.02,4.96,4.96,179710,DCM
