time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,11.06,11.13,10.7,10.78,959030,DXG
2019-01-03 07:00:00,10.66,10.92,10.5,10.52,1444880,DXG
2019-01-04 07:00:00,10.42,10.85,10.1,10.61,1337680,DXG
2019-01-07 07:00:00,11.03,11.03,10.68,10.73,965850,DXG
2019-01-08 07:00:00,10.73,10.73,10.42,10.52,738800,DXG
2019-01-09 07:00:00,10.52,11.03,10.52,11.03,1161510,DXG
2019-01-10 07:00:00,11.03,11.13,10.94,11.01,890730,DXG
2019-01-11 07:00:00,11.01,11.06,10.87,10.87,755740,DXG
2019-01-14 07:00:00,10.87,10.89,10.7,10.75,757220,DXG
2019-01-15 07:00:00,10.82,11.03,10.75,10.85,748700,DXG
2019-01-16 07:00:00,10.96,10.96,10.7,10.75,1055120,DXG
2019-01-17 07:00:00,10.75,10.8,10.61,10.61,806810,DXG
2019-01-18 07:00:00,10.66,10.66,10.52,10.52,661090,DXG
2019-01-21 07:00:00,10.52,10.78,10.52,10.73,873020,DXG
2019-01-22 07:00:00,10.8,10.89,10.78,10.85,953040,DXG
2019-01-23 07:00:00,10.96,11.13,10.87,10.99,1369690,DXG
2019-01-24 07:00:00,11.08,11.08,10.85,10.92,418850,DXG
2019-01-25 07:00:00,10.89,10.94,10.8,10.8,664240,DXG
2019-01-28 07:00:00,10.8,10.89,10.8,10.85,537830,DXG
2019-01-29 07:00:00,10.8,10.85,10.73,10.8,844480,DXG
2019-01-30 07:00:00,10.8,10.85,10.78,10.78,475810,DXG
2019-01-31 07:00:00,10.8,10.89,10.8,10.82,375770,DXG
2019-02-01 07:00:00,10.8,10.89,10.78,10.89,445580,DXG
2019-02-11 07:00:00,10.99,11.55,10.94,11.55,1866950,DXG
2019-02-12 07:00:00,11.55,11.69,11.5,11.55,1758010,DXG
2019-02-13 07:00:00,11.62,11.69,11.55,11.59,1741970,DXG
2019-02-14 07:00:00,11.59,11.83,11.5,11.59,1871830,DXG
