time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,26.8,26.8,24.3,25.58,590,FRT
2019-01-03 07:00:00,26.44,26.44,25.26,25.26,3810,FRT
2019-01-04 07:00:00,24.8,26.4,24.65,25.37,2590,FRT
2019-01-07 07:00:00,24.65,25.01,24.65,25.01,8280,FRT
2019-01-08 07:00:00,25.01,25.9,24.69,25.62,2430,FRT
2019-01-09 07:00:00,26.8,26.8,25.12,25.12,64920,FRT
2019-01-10 07:00:00,25.33,25.33,25.01,25.12,1320,FRT
2019-01-11 07:00:00,23.58,25.72,23.58,25.01,30,FRT
2019-01-14 07:00:00,26.19,26.19,25.04,25.33,1540,FRT
2019-01-15 07:00:00,23.97,25.33,23.97,25.33,1080,FRT
2019-01-16 07:00:00,24.76,26.05,24.76,24.97,4060,FRT
2019-01-17 07:00:00,23.58,25.01,23.58,25.01,30,FRT
2019-01-18 07:00:00,24.65,25.72,24.65,24.65,2040,FRT
2019-01-21 07:00:00,25.69,25.69,23.58,24.76,2680,FRT
2019-01-22 07:00:00,24.65,24.65,24.19,24.65,100,FRT
2019-01-23 07:00:00,24.65,25.72,24.3,24.65,3780,FRT
2019-01-24 07:00:00,24.51,25.51,24.51,24.65,1000,FRT
2019-01-25 07:00:00,24.54,24.65,24.54,24.65,570,FRT
2019-01-28 07:00:00,24.58,24.83,24.47,24.65,1320,FRT
2019-01-29 07:00:00,24.47,24.65,22.94,24.62,3580,FRT
2019-01-30 07:00:00,24.62,25.37,24.47,24.47,930,FRT
2019-01-31 07:00:00,24.97,24.97,24.44,24.44,370,FRT
2019-02-01 07:00:00,22.97,24.33,22.97,23.62,4060,FRT
2019-02-11 07:00:00,23.62,23.9,23.58,23.58,1500,FRT
2019-02-12 07:00:00,22.19,23.62,22.19,23.51,12010,FRT
2019-02-13 07:00:00,23.51,23.51,23.4,23.51,12690,FRT
2019-02-14 07:00:00,23.22,23.54,23.22,23.4,11390,FRT
2019-02-15 07:00:00,23.22,23.26,22.65,22.87,13240,FRT
2019-02-18 07:00:00,23.01,23.12,22.87,22.87,1330,FRT
2019-02-19 07:00:00,22.87,22.87,22.44,22.44,10640,FRT
2019-02-20 07:00:00,22.69,22.69,22.33,22.33,5910,FRT
2019-02-21 07:00:00,22.15,22.33,21.47,21.47,6670,FRT
2019-02-22 07:00:00,21.47,22.04,21.47,21.47,18280,FRT
2019-02-25 07:00:00,21.51,21.76,21.51,21.58,20000,FRT
2019-02-26 07:00:00,21.72,21.94,21.72,21.94,8100,FRT
2019-02-27 07:00:00,22.04,22.44,22.04,22.44,1200,FRT
2019-02-28 07:00:00,22.79,22.79,21.79,21.97,24620,FRT
2019-03-01 07:00:00,21.97,21.97,21.97,21.97,720,FRT
2019-03-04 07:00:00,21.44,21.76,20.72,21.47,10700,FRT
2019-03-05 07:00:00,20.94,21.47,20.9,21.36,7810,FRT
2019-03-06 07:00:00,21.97,21.97,21.36,21.36,15960,FRT
2019-03-07 07:00:00,20.94,21.08,20.94,21.08,2740,FRT
2019-03-08 07:00:00,21.4,21.44,20.72,20.72,7960,FRT
2019-03-11 07:00:00,20.72,20.76,20.54,20.54,1920,FRT
2019-03-12 07:00:00,20.72,20.76,20.51,20.69,25290,FRT
2019-03-13 07:00:00,20.9,21.19,20.62,20.72,6220,FRT
2019-03-14 07:00:00,20.04,20.69,20.04,20.36,13680,FRT
2019-03-15 07:00:00,20.22,20.36,19.83,19.83,20760,FRT
2019-03-18 07:00:00,19.9,19.9,19.65,19.65,11530,FRT
2019-03-19 07:00:00,19.65,19.76,19.22,19.47,15450,FRT
2019-03-20 07:00:00,19.29,20.01,18.9,18.94,25750,FRT
2019-03-21 07:00:00,18.58,18.94,18.29,18.29,15770,FRT
2019-03-22 07:00:00,18.54,18.54,17.9,18.22,20370,FRT
2019-03-25 07:00:00,18.22,18.22,17.15,17.15,16020,FRT
2019-03-26 07:00:00,16.79,17.47,16.79,17.47,35570,FRT
2019-03-27 07:00:00,17.47,17.47,17.1,17.11,31960,FRT
2019-03-28 07:00:00,17.15,17.18,17.15,17.15,13090,FRT
2019-03-29 07:00:00,17.15,17.79,17.15,17.76,66940,FRT
2019-04-01 07:00:00,17.77,17.86,17.51,17.58,67500,FRT
2019-04-02 07:00:00,17.58,18.79,17.58,18.79,54610,FRT
2019-04-03 07:00:00,19.51,20.08,19.44,20.01,142840,FRT
2019-04-04 07:00:00,20.36,20.47,19.29,19.29,75280,FRT
2019-04-05 07:00:00,18.97,19.65,18.97,19.54,24390,FRT
2019-04-08 07:00:00,20.01,20.01,19.04,19.22,38890,FRT
2019-04-09 07:00:00,19.65,19.65,18.94,19.22,24310,FRT
2019-04-10 07:00:00,19.22,19.22,18.26,18.58,41390,FRT
2019-04-11 07:00:00,18.86,19.01,18.44,19.01,37560,FRT
2019-04-12 07:00:00,18.86,19.65,18.86,19.61,20020,FRT
2019-04-16 07:00:00,19.61,19.61,18.61,19.08,7390,FRT
2019-04-17 07:00:00,19.29,19.47,18.79,18.79,9180,FRT
2019-04-18 07:00:00,19.26,19.26,18.58,18.58,2920,FRT
2019-04-19 07:00:00,19.11,19.11,18.69,18.9,1230,FRT
2019-04-22 07:00:00,18.61,18.61,17.9,18.22,7560,FRT
2019-04-23 07:00:00,18.04,18.4,17.79,18.4,30090,FRT
2019-04-24 07:00:00,18.58,18.58,18.15,18.22,6040,FRT
2019-04-25 07:00:00,18.22,19.29,18.22,18.83,20780,FRT
2019-04-26 07:00:00,19.22,19.22,18.29,18.29,7540,FRT
2019-05-02 07:00:00,18.58,18.9,18.58,18.58,920,FRT
2019-05-03 07:00:00,18.76,18.76,18.58,18.61,3330,FRT
2019-05-06 07:00:00,18.36,18.58,18.22,18.58,7760,FRT
2019-05-07 07:00:00,18.58,18.58,18.22,18.51,6370,FRT
2019-05-08 07:00:00,18.4,18.4,17.86,18.4,4960,FRT
2019-05-09 07:00:00,18.22,18.47,17.86,18.22,20860,FRT
2019-05-10 07:00:00,18.22,18.22,17.36,17.36,33040,FRT
2019-05-13 07:00:00,17.36,17.68,17.01,17.68,17580,FRT
2019-05-14 07:00:00,17.51,18.04,17.15,18.01,5940,FRT
