time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,49.77,50.24,49.77,50.18,417520,GAS
2019-01-03 07:00:00,50.0,50.29,48.56,48.96,404480,GAS
2019-01-04 07:00:00,48.44,49.43,47.63,48.85,336550,GAS
2019-01-07 07:00:00,50.0,50.47,49.43,49.89,255840,GAS
2019-01-08 07:00:00,49.89,51.28,49.89,51.04,600270,GAS
2019-01-09 07:00:00,51.85,52.26,51.45,51.97,515500,GAS
2019-01-10 07:00:00,52.55,53.3,52.32,52.78,685580,GAS
2019-01-11 07:00:00,52.84,53.01,52.09,52.61,338400,GAS
2019-01-14 07:00:00,52.49,52.49,51.45,51.74,370320,GAS
2019-01-15 07:00:00,51.74,52.32,51.74,52.2,368380,GAS
2019-01-16 07:00:00,52.84,52.84,52.2,52.38,198780,GAS
2019-01-17 07:00:00,52.61,52.61,51.45,51.45,178680,GAS
2019-01-18 07:00:00,51.74,51.91,51.28,51.45,227340,GAS
2019-01-21 07:00:00,52.49,52.66,51.74,52.32,257610,GAS
2019-01-22 07:00:00,52.49,52.55,51.85,51.85,220970,GAS
2019-01-23 07:00:00,51.8,52.32,51.51,52.03,227610,GAS
2019-01-24 07:00:00,52.09,52.78,51.91,51.91,332180,GAS
2019-01-25 07:00:00,51.68,52.2,51.62,51.74,325280,GAS
2019-01-28 07:00:00,52.09,52.14,51.56,51.74,189380,GAS
2019-01-29 07:00:00,51.22,51.45,50.58,50.81,309890,GAS
2019-01-30 07:00:00,50.87,51.45,50.87,50.87,216190,GAS
2019-01-31 07:00:00,51.68,51.68,50.76,50.76,327020,GAS
2019-02-01 07:00:00,51.04,51.33,50.87,50.87,329360,GAS
2019-02-11 07:00:00,51.33,52.32,50.76,52.32,513260,GAS
2019-02-12 07:00:00,52.14,53.18,52.03,52.61,623510,GAS
2019-02-13 07:00:00,53.07,54.11,52.95,53.76,571680,GAS
2019-02-14 07:00:00,53.82,54.17,53.36,53.47,475450,GAS
2019-02-15 07:00:00,53.65,54.51,53.47,54.34,916910,GAS
2019-02-18 07:00:00,55.21,56.31,54.92,56.19,971850,GAS
2019-02-19 07:00:00,56.19,56.6,55.21,55.5,784000,GAS
2019-02-20 07:00:00,55.5,55.67,54.98,55.5,533120,GAS
2019-02-21 07:00:00,55.5,56.36,55.32,56.19,1213190,GAS
2019-02-22 07:00:00,55.84,57.69,55.55,57.4,876610,GAS
2019-02-25 07:00:00,58.1,58.39,57.23,57.35,587600,GAS
2019-02-26 07:00:00,56.94,57.17,56.08,56.6,919960,GAS
2019-02-27 07:00:00,56.77,57.35,56.48,56.94,475590,GAS
2019-02-28 07:00:00,57.23,58.27,56.65,56.77,1014710,GAS
2019-03-01 07:00:00,57.52,57.81,56.88,57.81,549800,GAS
2019-03-04 07:00:00,58.5,59.54,58.5,59.54,1064060,GAS
2019-03-05 07:00:00,58.68,60.7,58.5,60.12,878610,GAS
2019-03-06 07:00:00,59.6,60.12,58.68,60.12,607480,GAS
2019-03-07 07:00:00,60.41,60.99,59.54,59.54,636880,GAS
2019-03-08 07:00:00,59.02,59.37,58.21,58.39,717540,GAS
2019-03-11 07:00:00,58.39,58.44,57.17,57.92,497400,GAS
2019-03-12 07:00:00,58.96,58.96,57.92,58.91,528030,GAS
2019-03-13 07:00:00,59.54,59.77,58.39,58.73,452730,GAS
2019-03-14 07:00:00,59.25,59.66,58.73,59.14,746300,GAS
2019-03-15 07:00:00,60.14,60.2,59.55,59.9,624450,GAS
2019-03-18 07:00:00,60.14,61.62,60.08,61.32,824960,GAS
2019-03-19 07:00:00,61.85,61.91,60.44,61.02,754590,GAS
2019-03-20 07:00:00,60.73,60.73,59.61,60.26,592690,GAS
2019-03-21 07:00:00,61.02,61.02,58.37,58.37,689690,GAS
2019-03-22 07:00:00,58.9,59.2,58.2,58.9,715730,GAS
2019-03-25 07:00:00,56.9,57.9,56.37,57.9,875550,GAS
2019-03-26 07:00:00,58.37,58.37,56.72,57.25,349120,GAS
2019-03-27 07:00:00,58.14,58.14,57.25,57.31,371570,GAS
2019-03-28 07:00:00,56.6,58.14,56.6,58.14,340660,GAS
2019-03-29 07:00:00,58.31,58.67,57.84,57.9,255710,GAS
2019-04-01 07:00:00,58.08,59.55,58.08,59.37,433760,GAS
2019-04-02 07:00:00,60.2,60.49,59.55,59.55,563160,GAS
2019-04-03 07:00:00,59.61,60.08,59.02,59.85,451150,GAS
2019-04-04 07:00:00,60.08,60.26,59.67,59.73,379650,GAS
2019-04-05 07:00:00,59.73,61.2,59.55,61.2,845350,GAS
2019-04-08 07:00:00,61.91,63.09,61.91,63.09,886190,GAS
2019-04-09 07:00:00,63.68,63.68,61.62,61.91,705700,GAS
2019-04-10 07:00:00,61.62,62.32,61.26,62.03,467860,GAS
2019-04-11 07:00:00,62.62,62.62,61.91,61.91,281390,GAS
2019-04-12 07:00:00,61.62,63.27,61.14,62.79,393550,GAS
2019-04-16 07:00:00,61.91,62.38,61.32,62.09,303000,GAS
2019-04-17 07:00:00,62.14,63.62,62.14,62.97,664240,GAS
2019-04-18 07:00:00,62.79,63.09,62.09,62.26,265360,GAS
2019-04-19 07:00:00,63.09,63.44,62.44,62.62,221520,GAS
2019-04-22 07:00:00,62.68,64.86,62.62,64.03,415660,GAS
2019-04-23 07:00:00,64.86,66.57,64.56,66.16,743710,GAS
2019-04-24 07:00:00,66.04,67.75,66.04,66.16,451460,GAS
2019-04-25 07:00:00,66.16,67.1,65.86,66.63,310480,GAS
2019-04-26 07:00:00,66.16,66.92,66.04,66.51,155140,GAS
2019-05-02 07:00:00,66.04,67.51,65.98,67.22,229350,GAS
2019-05-03 07:00:00,66.21,67.16,65.74,66.33,208380,GAS
2019-05-06 07:00:00,64.86,65.74,62.91,63.62,388710,GAS
2019-05-07 07:00:00,64.15,64.74,63.68,63.97,235770,GAS
2019-05-08 07:00:00,63.97,64.56,62.5,64.27,388880,GAS
2019-05-09 07:00:00,64.27,64.27,62.74,62.85,319300,GAS
2019-05-10 07:00:00,62.85,63.91,62.85,63.62,242390,GAS
2019-05-13 07:00:00,63.68,63.68,62.79,62.85,266910,GAS
2019-05-14 07:00:00,62.79,64.27,62.38,64.27,312120,GAS
2019-05-15 07:00:00,64.27,65.33,64.27,64.86,308570,GAS
2019-05-16 07:00:00,66.04,66.04,64.92,64.92,186420,GAS
2019-05-17 07:00:00,65.45,65.68,64.98,64.98,291760,GAS
2019-05-20 07:00:00,65.27,66.63,64.98,66.63,395860,GAS
2019-05-21 07:00:00,66.63,66.74,65.62,65.74,396200,GAS
2019-05-22 07:00:00,65.15,66.92,65.15,65.15,255740,GAS
2019-05-23 07:00:00,64.86,65.15,63.38,64.33,469570,GAS
2019-05-24 07:00:00,63.09,64.33,62.79,62.79,605650,GAS
2019-05-27 07:00:00,63.09,63.74,62.79,63.5,196160,GAS
2019-05-28 07:00:00,64.21,64.21,63.09,63.62,141830,GAS
2019-05-29 07:00:00,63.62,64.21,63.38,64.09,254400,GAS
2019-05-30 07:00:00,64.09,64.33,63.68,63.74,105790,GAS
2019-05-31 07:00:00,62.79,63.56,61.5,61.5,370420,GAS
2019-06-03 07:00:00,60.32,60.73,58.37,59.79,585280,GAS
2019-06-04 07:00:00,59.79,60.73,58.96,60.14,187500,GAS
2019-06-05 07:00:00,61.02,61.14,60.14,60.14,100400,GAS
2019-06-06 07:00:00,59.55,59.55,58.84,58.84,343360,GAS
2019-06-07 07:00:00,59.55,60.73,58.84,60.73,553140,GAS
2019-06-10 07:00:00,61.32,61.67,60.73,61.02,301290,GAS
2019-06-11 07:00:00,61.02,61.38,60.2,61.32,239360,GAS
2019-06-12 07:00:00,60.79,60.97,59.85,59.85,222140,GAS
2019-06-13 07:00:00,58.9,60.44,58.73,59.85,277920,GAS
2019-06-14 07:00:00,59.85,60.49,59.85,60.14,181500,GAS
2019-06-17 07:00:00,60.14,60.55,59.61,60.08,117830,GAS
2019-06-18 07:00:00,59.85,60.08,59.61,59.85,157350,GAS
2019-06-19 07:00:00,61.14,61.14,60.38,61.14,177540,GAS
2019-06-20 07:00:00,61.14,62.03,60.73,61.79,326020,GAS
2019-06-21 07:00:00,62.2,62.56,61.91,62.2,194280,GAS
2019-06-24 07:00:00,59.55,62.03,59.55,61.62,141490,GAS
2019-06-25 07:00:00,61.02,61.91,60.91,61.02,225300,GAS
2019-06-26 07:00:00,61.62,62.09,61.26,61.73,150000,GAS
2019-06-27 07:00:00,62.09,62.2,57.78,57.78,219480,GAS
2019-06-28 07:00:00,60.14,61.08,57.49,57.49,995340,GAS
2019-07-01 07:00:00,60.73,61.14,59.9,61.14,357230,GAS
2019-07-02 07:00:00,61.26,61.32,60.61,61.26,199800,GAS
2019-07-03 07:00:00,60.73,60.85,60.2,60.73,200830,GAS
2019-07-04 07:00:00,60.73,61.32,60.73,60.85,134830,GAS
2019-07-05 07:00:00,61.2,61.2,60.85,61.08,221780,GAS
2019-07-08 07:00:00,61.26,61.26,60.26,60.73,160240,GAS
2019-07-09 07:00:00,60.73,61.85,60.49,61.56,224910,GAS
2019-07-10 07:00:00,61.91,62.38,61.91,62.38,406980,GAS
2019-07-11 07:00:00,62.97,63.32,62.62,62.62,198380,GAS
2019-07-12 07:00:00,63.21,63.27,62.14,62.38,166770,GAS
2019-07-15 07:00:00,63.21,62.68,61.91,62.5,151450,GAS
2019-07-16 07:00:00,62.5,62.79,62.2,62.74,231630,GAS
2019-07-17 07:00:00,62.44,64.27,62.2,64.21,532120,GAS
2019-07-18 07:00:00,64.21,64.21,63.09,63.21,196780,GAS
2019-07-19 07:00:00,63.38,63.38,62.38,62.5,299330,GAS
2019-07-22 07:00:00,61.97,63.15,61.97,62.2,126500,GAS
2019-07-23 07:00:00,62.2,63.68,62.2,63.15,165220,GAS
2019-07-24 07:00:00,63.27,63.8,62.85,62.91,133000,GAS
2019-07-25 07:00:00,62.85,63.97,62.5,63.68,436120,GAS
2019-07-26 07:00:00,63.68,64.27,63.62,63.68,300030,GAS
2019-07-29 07:00:00,63.8,65.45,63.44,65.45,668960,GAS
2019-07-30 07:00:00,65.45,66.33,64.27,64.27,378650,GAS
2019-07-31 07:00:00,64.27,65.15,64.03,64.33,126560,GAS
2019-08-01 07:00:00,64.8,64.8,63.56,63.86,235090,GAS
2019-08-02 07:00:00,62.5,63.15,61.91,62.5,436240,GAS
