time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,3.19,3.19,3.15,3.15,15790,HAH
2019-01-03 07:00:00,3.15,3.16,3.11,3.11,30550,HAH
2019-01-04 07:00:00,3.08,3.08,2.94,3.06,137880,HAH
2019-01-07 07:00:00,3.06,3.11,3.06,3.06,40640,HAH
2019-01-08 07:00:00,3.06,3.12,3.06,3.12,16470,HAH
2019-01-09 07:00:00,3.06,3.07,3.05,3.07,74820,HAH
2019-01-10 07:00:00,3.06,3.07,3.04,3.07,22210,HAH
2019-01-11 07:00:00,3.06,3.08,3.04,3.05,52380,HAH
2019-01-14 07:00:00,3.04,3.04,3.01,3.01,45100,HAH
2019-01-15 07:00:00,3.01,3.07,3.01,3.06,36940,HAH
2019-01-16 07:00:00,3.06,3.06,3.04,3.06,50760,HAH
2019-01-17 07:00:00,3.05,3.06,3.02,3.04,55950,HAH
2019-01-18 07:00:00,3.04,3.05,3.01,3.05,38110,HAH
2019-01-21 07:00:00,3.11,3.11,3.0,3.0,57260,HAH
2019-01-22 07:00:00,3.07,3.07,3.01,3.01,34230,HAH
2019-01-23 07:00:00,3.04,3.04,3.01,3.04,21210,HAH
2019-01-24 07:00:00,3.04,3.04,3.01,3.01,17030,HAH
2019-01-25 07:00:00,3.01,3.01,2.99,2.99,21840,HAH
2019-01-28 07:00:00,3.06,3.06,3.0,3.0,10900,HAH
2019-01-29 07:00:00,3.0,3.01,2.99,3.0,11340,HAH
2019-01-30 07:00:00,3.01,3.2,3.0,3.13,40750,HAH
2019-01-31 07:00:00,3.06,3.08,3.04,3.05,27300,HAH
2019-02-01 07:00:00,3.06,3.06,3.04,3.04,40540,HAH
2019-02-11 07:00:00,3.06,3.07,3.04,3.06,70450,HAH
2019-02-12 07:00:00,3.04,3.18,3.04,3.11,429380,HAH
2019-02-13 07:00:00,3.11,3.19,3.11,3.16,134930,HAH
2019-02-14 07:00:00,3.16,3.28,3.16,3.28,289350,HAH
2019-02-15 07:00:00,3.27,3.27,3.2,3.22,120130,HAH
2019-02-18 07:00:00,3.22,3.22,3.18,3.18,228860,HAH
2019-02-19 07:00:00,3.2,3.2,3.13,3.13,132800,HAH
2019-02-20 07:00:00,3.18,3.22,3.13,3.15,280950,HAH
2019-02-21 07:00:00,3.15,3.21,3.15,3.19,325010,HAH
2019-02-22 07:00:00,3.21,3.21,3.15,3.15,301890,HAH
2019-02-25 07:00:00,3.18,3.18,3.12,3.13,154130,HAH
2019-02-26 07:00:00,3.13,3.13,3.07,3.1,119890,HAH
2019-02-27 07:00:00,3.1,3.13,3.07,3.1,48870,HAH
2019-02-28 07:00:00,3.1,3.13,3.01,3.04,212380,HAH
2019-03-01 07:00:00,3.04,3.1,3.02,3.06,151480,HAH
2019-03-04 07:00:00,3.08,3.13,3.06,3.11,270850,HAH
2019-03-05 07:00:00,3.11,3.18,3.08,3.12,445260,HAH
2019-03-06 07:00:00,3.15,3.2,3.13,3.16,433950,HAH
2019-03-07 07:00:00,3.16,3.18,3.1,3.1,221500,HAH
2019-03-08 07:00:00,3.1,3.27,3.1,3.18,342780,HAH
2019-03-11 07:00:00,3.19,3.34,3.18,3.28,886450,HAH
2019-03-12 07:00:00,3.28,3.38,3.27,3.3,499190,HAH
2019-03-13 07:00:00,3.27,3.41,3.27,3.36,513050,HAH
2019-03-14 07:00:00,3.35,3.41,3.33,3.33,334900,HAH
2019-03-15 07:00:00,3.32,3.34,3.25,3.3,376460,HAH
2019-03-18 07:00:00,3.3,3.34,3.25,3.33,268590,HAH
2019-03-19 07:00:00,3.35,3.42,3.34,3.36,536750,HAH
2019-03-20 07:00:00,3.36,3.39,3.32,3.34,128110,HAH
2019-03-21 07:00:00,3.34,3.39,3.3,3.3,341900,HAH
2019-03-22 07:00:00,3.3,3.34,3.24,3.24,315790,HAH
2019-03-25 07:00:00,3.22,3.22,3.15,3.21,159010,HAH
