time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,3.19,3.19,3.09,3.09,382061,LPB
2019-01-03 07:00:00,3.09,3.09,2.96,3.02,967044,LPB
2019-01-04 07:00:00,2.99,3.02,2.92,2.99,613657,LPB
2019-01-07 07:00:00,2.99,3.02,2.92,2.96,424613,LPB
2019-01-08 07:00:00,2.99,3.02,2.99,3.02,385589,LPB
2019-01-09 07:00:00,3.02,3.06,2.99,2.99,167393,LPB
2019-01-10 07:00:00,3.02,3.02,2.99,2.99,279490,LPB
2019-01-11 07:00:00,3.02,3.02,2.99,2.99,386525,LPB
2019-01-14 07:00:00,3.02,3.02,2.96,2.96,146306,LPB
2019-01-15 07:00:00,2.96,2.99,2.92,2.99,341119,LPB
2019-01-16 07:00:00,2.99,3.02,2.89,2.92,1088792,LPB
2019-01-17 07:00:00,2.96,2.96,2.89,2.89,349496,LPB
2019-01-18 07:00:00,2.89,2.92,2.85,2.89,215505,LPB
2019-01-21 07:00:00,2.85,2.96,2.85,2.92,848520,LPB
2019-01-22 07:00:00,2.92,2.96,2.89,2.92,489693,LPB
2019-01-23 07:00:00,2.92,2.92,2.89,2.92,404630,LPB
2019-01-24 07:00:00,2.92,2.96,2.89,2.92,757010,LPB
2019-01-25 07:00:00,2.92,2.96,2.89,2.92,732417,LPB
2019-01-28 07:00:00,2.89,2.92,2.89,2.89,374915,LPB
2019-01-29 07:00:00,2.89,2.92,2.85,2.92,301218,LPB
2019-01-30 07:00:00,3.3,3.3,2.92,2.92,230765,LPB
2019-01-31 07:00:00,2.99,2.99,2.92,2.92,646260,LPB
2019-02-01 07:00:00,2.96,2.99,2.92,2.92,413605,LPB
2019-02-11 07:00:00,2.92,3.02,2.92,3.02,266153,LPB
2019-02-12 07:00:00,2.99,3.09,2.99,3.09,1137730,LPB
2019-02-13 07:00:00,3.06,3.09,3.02,3.06,786211,LPB
2019-02-14 07:00:00,3.09,3.09,3.02,3.06,355093,LPB
2019-02-15 07:00:00,3.06,3.06,2.99,3.02,943366,LPB
2019-02-18 07:00:00,3.02,3.06,2.99,3.02,968250,LPB
2019-02-19 07:00:00,3.02,3.02,2.96,2.99,1491209,LPB
2019-02-20 07:00:00,2.99,3.16,2.99,3.12,2134399,LPB
2019-02-21 07:00:00,3.12,3.16,3.09,3.12,1153646,LPB
2019-02-22 07:00:00,3.12,3.12,3.06,3.09,580835,LPB
2019-02-25 07:00:00,3.09,3.16,3.09,3.12,889710,LPB
2019-02-26 07:00:00,3.12,3.12,3.06,3.06,852792,LPB
2019-02-27 07:00:00,3.09,3.12,3.06,3.09,399450,LPB
2019-02-28 07:00:00,3.09,3.09,3.02,3.06,1416226,LPB
2019-03-01 07:00:00,3.06,3.09,3.02,3.06,520938,LPB
2019-03-04 07:00:00,3.06,3.12,3.06,3.09,440893,LPB
2019-03-05 07:00:00,3.09,3.23,3.09,3.12,1397110,LPB
2019-03-06 07:00:00,3.12,3.12,3.09,3.12,497639,LPB
2019-03-07 07:00:00,3.09,3.19,3.09,3.16,1782996,LPB
2019-03-08 07:00:00,3.16,3.19,3.09,3.12,1668097,LPB
