time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,4.1,4.14,4.07,4.07,3645490,MBB
2019-01-03 07:00:00,4.08,4.08,3.89,3.89,8560650,MBB
2019-01-04 07:00:00,3.87,3.98,3.8,3.91,6057970,MBB
2019-01-07 07:00:00,4.0,4.05,3.98,3.99,4139200,MBB
2019-01-08 07:00:00,4.0,4.02,3.94,3.96,3172190,MBB
2019-01-09 07:00:00,4.0,4.09,3.99,4.07,5914110,MBB
2019-01-10 07:00:00,4.07,4.1,4.05,4.07,2885650,MBB
2019-01-11 07:00:00,4.07,4.09,4.03,4.05,3326770,MBB
2019-01-14 07:00:00,4.03,4.06,3.98,4.0,4754200,MBB
2019-01-15 07:00:00,4.0,4.13,4.0,4.1,5908240,MBB
2019-01-16 07:00:00,4.12,4.15,4.07,4.09,2505890,MBB
2019-01-17 07:00:00,4.09,4.21,4.09,4.15,6675580,MBB
2019-01-18 07:00:00,4.18,4.18,4.12,4.15,3041270,MBB
2019-01-21 07:00:00,4.31,4.44,4.27,4.42,9970870,MBB
2019-01-22 07:00:00,4.42,4.43,4.33,4.33,5700760,MBB
2019-01-23 07:00:00,4.32,4.38,4.31,4.35,2458540,MBB
2019-01-24 07:00:00,4.36,4.46,4.35,4.46,4912140,MBB
2019-01-25 07:00:00,4.46,4.48,4.43,4.45,3310930,MBB
2019-01-28 07:00:00,4.44,4.46,4.41,4.43,2873640,MBB
2019-01-29 07:00:00,4.42,4.49,4.38,4.48,3966560,MBB
2019-01-30 07:00:00,4.48,4.6,4.46,4.58,6716410,MBB
2019-01-31 07:00:00,4.63,4.66,4.6,4.61,7340190,MBB
2019-02-01 07:00:00,4.58,4.62,4.56,4.6,3947520,MBB
2019-02-11 07:00:00,4.62,4.65,4.61,4.64,4238890,MBB
2019-02-12 07:00:00,4.66,4.66,4.56,4.63,8163220,MBB
2019-02-13 07:00:00,4.63,4.65,4.62,4.63,7793680,MBB
2019-02-14 07:00:00,4.63,4.65,4.62,4.65,5052420,MBB
2019-02-15 07:00:00,4.65,4.66,4.63,4.64,4795580,MBB
2019-02-18 07:00:00,4.65,4.67,4.64,4.65,6665490,MBB
2019-02-19 07:00:00,4.65,4.65,4.61,4.62,13646940,MBB
2019-02-20 07:00:00,4.58,4.64,4.58,4.64,9694170,MBB
2019-02-21 07:00:00,4.63,4.65,4.62,4.65,7998970,MBB
2019-02-22 07:00:00,4.65,4.82,4.63,4.73,7449760,MBB
2019-02-25 07:00:00,4.75,4.8,4.72,4.72,4963740,MBB
2019-02-26 07:00:00,4.72,4.72,4.64,4.64,6790020,MBB
2019-02-27 07:00:00,4.64,4.67,4.63,4.64,11767870,MBB
2019-02-28 07:00:00,4.63,4.64,4.52,4.52,5837530,MBB
2019-03-01 07:00:00,4.55,4.6,4.53,4.58,2610160,MBB
2019-03-04 07:00:00,4.58,4.66,4.57,4.66,3669110,MBB
2019-03-05 07:00:00,4.64,4.71,4.64,4.66,4786880,MBB
2019-03-06 07:00:00,4.66,4.69,4.63,4.66,2290120,MBB
2019-03-07 07:00:00,4.66,4.69,4.65,4.67,3164810,MBB
2019-03-08 07:00:00,4.63,4.65,4.58,4.6,3277410,MBB
2019-03-11 07:00:00,4.62,4.62,4.57,4.58,1529570,MBB
2019-03-12 07:00:00,4.62,4.75,4.56,4.74,6797420,MBB
2019-03-13 07:00:00,4.74,4.8,4.73,4.75,6024410,MBB
2019-03-14 07:00:00,4.77,4.8,4.73,4.73,3449490,MBB
2019-03-15 07:00:00,4.73,4.77,4.7,4.73,3224510,MBB
2019-03-18 07:00:00,4.75,4.8,4.73,4.78,4746380,MBB
2019-03-19 07:00:00,4.81,4.85,4.75,4.76,6440360,MBB
2019-03-20 07:00:00,4.77,4.83,4.73,4.83,7979570,MBB
2019-03-21 07:00:00,4.86,4.9,4.8,4.8,7803030,MBB
2019-03-22 07:00:00,4.83,4.86,4.78,4.82,4103480,MBB
2019-03-25 07:00:00,4.71,4.74,4.64,4.66,6612290,MBB
2019-03-26 07:00:00,4.69,4.73,4.66,4.66,4295110,MBB
2019-03-27 07:00:00,4.67,4.75,4.67,4.71,2467890,MBB
2019-03-28 07:00:00,4.69,4.73,4.69,4.71,1745830,MBB
2019-03-29 07:00:00,4.72,4.74,4.7,4.71,2490290,MBB
2019-04-01 07:00:00,4.72,4.74,4.69,4.71,1776460,MBB
2019-04-02 07:00:00,4.74,4.75,4.7,4.72,3130520,MBB
2019-04-03 07:00:00,4.7,4.74,4.7,4.73,3310860,MBB
2019-04-04 07:00:00,4.75,4.78,4.74,4.76,3205590,MBB
2019-04-05 07:00:00,4.83,4.84,4.78,4.78,2881150,MBB
2019-04-08 07:00:00,4.78,4.83,4.76,4.83,3341370,MBB
2019-04-09 07:00:00,4.84,4.85,4.78,4.81,2979710,MBB
2019-04-10 07:00:00,4.76,4.8,4.73,4.74,2369220,MBB
2019-04-11 07:00:00,4.74,4.76,4.72,4.75,1402860,MBB
2019-04-12 07:00:00,4.78,4.78,4.72,4.73,1062400,MBB
2019-04-16 07:00:00,4.61,4.69,4.61,4.64,2831820,MBB
2019-04-17 07:00:00,4.68,4.7,4.64,4.64,2736060,MBB
2019-04-18 07:00:00,4.64,4.72,4.62,4.66,3913100,MBB
2019-04-19 07:00:00,4.67,4.69,4.63,4.67,1796860,MBB
2019-04-22 07:00:00,4.68,4.68,4.57,4.62,2986120,MBB
2019-04-23 07:00:00,4.6,4.63,4.58,4.6,2007220,MBB
2019-04-24 07:00:00,4.61,4.64,4.6,4.64,1572500,MBB
2019-04-25 07:00:00,4.64,4.67,4.62,4.64,1119690,MBB
2019-04-26 07:00:00,4.64,4.71,4.62,4.71,2171040,MBB
2019-05-02 07:00:00,4.72,4.78,4.71,4.73,2927500,MBB
2019-05-03 07:00:00,4.73,4.78,4.69,4.78,3621700,MBB
2019-05-06 07:00:00,4.7,4.71,4.61,4.64,3476990,MBB
2019-05-07 07:00:00,4.68,4.69,4.63,4.63,1289310,MBB
2019-05-08 07:00:00,4.56,4.63,4.56,4.6,2565890,MBB
2019-05-09 07:00:00,4.6,4.63,4.49,4.54,4125520,MBB
2019-05-10 07:00:00,4.54,4.58,4.49,4.51,3157000,MBB
2019-05-13 07:00:00,4.53,4.61,4.5,4.59,2834730,MBB
2019-05-14 07:00:00,4.54,4.6,4.54,4.6,1522450,MBB
2019-05-15 07:00:00,4.59,4.67,4.59,4.63,2589070,MBB
2019-05-16 07:00:00,4.64,4.64,4.6,4.6,1557280,MBB
2019-05-17 07:00:00,4.6,4.62,4.56,4.58,1490020,MBB
2019-05-20 07:00:00,4.55,4.61,4.55,4.57,2578400,MBB
2019-05-21 07:00:00,4.58,4.62,4.57,4.6,2361180,MBB
2019-05-22 07:00:00,4.66,4.72,4.59,4.66,4816550,MBB
2019-05-23 07:00:00,4.64,4.7,4.64,4.68,1844140,MBB
2019-05-24 07:00:00,4.68,4.69,4.61,4.61,2667900,MBB
2019-05-27 07:00:00,4.61,4.62,4.59,4.6,1485860,MBB
2019-05-28 07:00:00,4.6,4.62,4.58,4.61,1653300,MBB
2019-05-29 07:00:00,4.61,4.61,4.57,4.58,1497840,MBB
2019-05-30 07:00:00,4.56,4.61,4.56,4.57,1292040,MBB
2019-05-31 07:00:00,4.56,4.58,4.5,4.5,2357400,MBB
2019-06-03 07:00:00,4.47,4.49,4.4,4.4,2176820,MBB
2019-06-04 07:00:00,4.42,4.43,4.39,4.4,1469890,MBB
2019-06-05 07:00:00,4.43,4.45,4.38,4.38,1775340,MBB
2019-06-06 07:00:00,4.38,4.43,4.34,4.36,1801840,MBB
2019-06-07 07:00:00,4.4,4.44,4.4,4.44,1054870,MBB
2019-06-10 07:00:00,4.49,4.5,4.43,4.45,1591790,MBB
2019-06-11 07:00:00,4.45,4.48,4.45,4.47,1066350,MBB
2019-06-12 07:00:00,4.46,4.48,4.45,4.45,875510,MBB
2019-06-13 07:00:00,4.43,4.46,4.41,4.45,866620,MBB
2019-06-14 07:00:00,4.45,4.53,4.44,4.47,1524350,MBB
2019-06-17 07:00:00,4.49,4.5,4.46,4.47,1361110,MBB
2019-06-18 07:00:00,4.47,4.48,4.45,4.45,736810,MBB
2019-06-19 07:00:00,4.46,4.49,4.45,4.46,1271670,MBB
2019-06-20 07:00:00,4.46,4.6,4.46,4.6,2947050,MBB
2019-06-21 07:00:00,4.6,4.63,4.58,4.6,2152330,MBB
2019-06-24 07:00:00,4.6,4.61,4.58,4.6,1509130,MBB
2019-06-25 07:00:00,4.59,4.6,4.55,4.56,1327160,MBB
2019-06-26 07:00:00,4.55,4.58,4.5,4.5,2787110,MBB
2019-06-27 07:00:00,4.5,4.54,4.45,4.45,2134180,MBB
2019-06-28 07:00:00,4.47,4.51,4.41,4.51,2436860,MBB
2019-07-01 07:00:00,4.54,4.58,4.53,4.57,2287500,MBB
2019-07-02 07:00:00,4.57,4.6,4.54,4.57,2059740,MBB
2019-07-03 07:00:00,4.56,4.57,4.51,4.54,1836080,MBB
2019-07-04 07:00:00,4.57,4.6,4.55,4.57,2990860,MBB
2019-07-05 07:00:00,4.58,4.62,4.58,4.6,2644580,MBB
2019-07-08 07:00:00,4.59,4.62,4.54,4.56,2397440,MBB
2019-07-09 07:00:00,4.56,4.59,4.54,4.58,1687150,MBB
2019-07-10 07:00:00,4.6,4.63,4.56,4.56,2550800,MBB
2019-07-11 07:00:00,4.58,4.63,4.56,4.62,2732500,MBB
2019-07-12 07:00:00,4.63,4.7,4.61,4.61,5292040,MBB
2019-07-15 07:00:00,4.63,4.64,4.59,4.63,2869250,MBB
2019-07-16 07:00:00,4.66,4.74,4.66,4.7,4957340,MBB
2019-07-17 07:00:00,4.71,4.8,4.69,4.78,8006500,MBB
2019-07-18 07:00:00,4.73,4.8,4.73,4.8,5142150,MBB
2019-07-19 07:00:00,4.84,4.85,4.8,4.8,4650480,MBB
2019-07-22 07:00:00,4.82,4.88,4.78,4.8,5785830,MBB
2019-07-23 07:00:00,4.82,4.92,4.78,4.9,7265310,MBB
2019-07-24 07:00:00,4.93,4.97,4.88,4.88,5461810,MBB
2019-07-25 07:00:00,4.86,4.93,4.83,4.84,5063140,MBB
2019-07-26 07:00:00,4.84,4.85,4.8,4.83,4449350,MBB
2019-07-29 07:00:00,4.84,4.86,4.82,4.85,4606870,MBB
2019-07-30 07:00:00,4.85,4.88,4.72,4.72,4153160,MBB
2019-07-31 07:00:00,4.72,4.8,4.71,4.8,3870500,MBB
2019-08-01 07:00:00,4.78,4.78,4.73,4.75,1936680,MBB
2019-08-02 07:00:00,4.68,4.78,4.68,4.74,3510760,MBB
2019-08-05 07:00:00,4.73,4.74,4.68,4.71,3202810,MBB
2019-08-06 07:00:00,4.64,4.67,4.6,4.61,3904110,MBB
2019-08-07 07:00:00,4.64,4.66,4.59,4.6,1722650,MBB
2019-08-08 07:00:00,4.63,4.7,4.6,4.67,3137090,MBB
2019-08-09 07:00:00,4.69,4.7,4.63,4.63,1671670,MBB
2019-08-12 07:00:00,4.67,4.74,4.64,4.73,4088380,MBB
2019-08-13 07:00:00,4.71,4.82,4.69,4.8,4397540,MBB
2019-08-14 07:00:00,4.86,4.88,4.82,4.82,3081920,MBB
2019-08-15 07:00:00,4.75,4.82,4.72,4.82,3102350,MBB
2019-08-16 07:00:00,4.82,4.88,4.81,4.84,4197650,MBB
2019-08-19 07:00:00,4.85,4.88,4.76,4.76,2745720,MBB
2019-08-20 07:00:00,4.78,4.83,4.76,4.78,2713290,MBB
2019-08-21 07:00:00,4.82,4.9,4.8,4.86,6149430,MBB
2019-08-22 07:00:00,4.9,4.95,4.87,4.87,4777090,MBB
2019-08-23 07:00:00,4.9,4.93,4.86,4.89,2872280,MBB
2019-08-26 07:00:00,4.85,5.03,4.83,5.03,14681280,MBB
