time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,63.92,63.92,63.35,63.68,433670,MSN
2019-01-03 07:00:00,63.92,63.92,62.87,63.19,565640,MSN
2019-01-04 07:00:00,62.38,62.79,61.17,61.73,463070,MSN
2019-01-07 07:00:00,63.27,63.6,62.54,63.35,336380,MSN
2019-01-08 07:00:00,63.35,64.08,63.27,64.0,279810,MSN
2019-01-09 07:00:00,64.0,64.65,63.92,64.0,339530,MSN
2019-01-10 07:00:00,64.0,65.7,64.0,64.97,450900,MSN
2019-01-11 07:00:00,65.05,65.78,64.81,65.38,452300,MSN
2019-01-14 07:00:00,65.38,65.86,65.05,65.22,268810,MSN
2019-01-15 07:00:00,65.3,66.43,65.14,66.35,403800,MSN
2019-01-16 07:00:00,66.43,66.92,65.95,65.95,483100,MSN
2019-01-17 07:00:00,65.86,66.51,64.97,64.97,320060,MSN
2019-01-18 07:00:00,64.97,65.95,64.97,65.62,359080,MSN
2019-01-21 07:00:00,65.62,65.86,65.3,65.46,266000,MSN
2019-01-22 07:00:00,65.46,65.54,64.89,64.89,115780,MSN
2019-01-23 07:00:00,64.89,64.89,63.19,63.19,707690,MSN
2019-01-24 07:00:00,63.76,63.92,62.79,63.19,435690,MSN
2019-01-25 07:00:00,63.19,63.68,63.03,63.43,677540,MSN
2019-01-28 07:00:00,63.43,64.24,63.43,64.08,749070,MSN
2019-01-29 07:00:00,64.81,64.81,64.16,64.41,604480,MSN
2019-01-30 07:00:00,64.08,64.49,64.08,64.08,591400,MSN
2019-01-31 07:00:00,64.33,64.49,62.95,62.95,721900,MSN
2019-02-01 07:00:00,63.19,63.68,62.79,63.52,679540,MSN
2019-02-11 07:00:00,64.73,66.59,64.65,64.97,1094450,MSN
2019-02-12 07:00:00,66.03,67.24,65.46,66.67,1032810,MSN
2019-02-13 07:00:00,66.67,69.59,66.67,69.59,1361490,MSN
2019-02-14 07:00:00,69.59,70.0,68.05,69.67,1451830,MSN
2019-02-15 07:00:00,69.51,69.51,68.54,68.62,779850,MSN
2019-02-18 07:00:00,68.86,69.27,68.78,69.19,659240,MSN
2019-02-19 07:00:00,68.94,70.16,68.94,70.08,1121720,MSN
2019-02-20 07:00:00,69.67,70.0,69.51,69.67,1131460,MSN
2019-02-21 07:00:00,69.92,72.83,69.92,72.67,2224960,MSN
2019-02-22 07:00:00,72.83,73.72,71.62,71.62,1234210,MSN
2019-02-25 07:00:00,74.53,74.53,73.32,73.89,1139980,MSN
2019-02-26 07:00:00,73.8,73.89,71.62,72.91,902730,MSN
2019-02-27 07:00:00,72.99,73.64,72.75,72.83,788910,MSN
2019-02-28 07:00:00,72.83,72.83,71.7,72.02,835220,MSN
2019-03-01 07:00:00,72.1,72.26,71.45,72.1,683440,MSN
2019-03-04 07:00:00,72.18,74.05,72.1,72.51,1284390,MSN
2019-03-05 07:00:00,72.51,73.64,72.35,72.43,772090,MSN
2019-03-06 07:00:00,72.91,73.08,72.35,72.91,695520,MSN
2019-03-07 07:00:00,73.48,73.72,72.75,72.91,947510,MSN
2019-03-08 07:00:00,72.18,72.91,71.7,72.75,469730,MSN
2019-03-11 07:00:00,71.37,72.67,71.37,72.59,602350,MSN
2019-03-12 07:00:00,72.59,72.91,71.37,71.7,653990,MSN
2019-03-13 07:00:00,71.7,72.51,71.7,72.1,1014640,MSN
2019-03-14 07:00:00,72.1,72.35,71.78,71.78,201760,MSN
2019-03-15 07:00:00,71.78,72.1,69.11,70.08,1372560,MSN
2019-03-18 07:00:00,70.08,70.97,68.7,70.32,766250,MSN
2019-03-19 07:00:00,70.73,70.73,69.67,70.48,442460,MSN
2019-03-20 07:00:00,69.11,69.83,68.05,68.86,591560,MSN
2019-03-21 07:00:00,68.94,69.19,68.3,68.86,665060,MSN
2019-03-22 07:00:00,68.78,69.11,68.46,68.46,759190,MSN
2019-03-25 07:00:00,67.24,67.81,66.51,66.59,488150,MSN
2019-03-26 07:00:00,66.59,68.05,66.59,67.32,488320,MSN
2019-03-27 07:00:00,67.32,69.02,67.32,68.86,455910,MSN
2019-03-28 07:00:00,68.86,68.86,68.21,68.86,395730,MSN
2019-03-29 07:00:00,68.86,70.4,68.3,68.3,756010,MSN
2019-04-01 07:00:00,69.35,71.29,69.02,71.29,515710,MSN
2019-04-02 07:00:00,71.54,71.78,69.92,71.37,393200,MSN
2019-04-03 07:00:00,71.37,71.37,70.48,71.05,303680,MSN
2019-04-04 07:00:00,70.56,71.37,70.56,71.13,336280,MSN
2019-04-05 07:00:00,71.13,71.94,71.13,71.54,231110,MSN
2019-04-08 07:00:00,71.29,71.7,69.51,71.54,582440,MSN
2019-04-09 07:00:00,71.86,71.86,70.48,70.89,280380,MSN
2019-04-10 07:00:00,69.02,70.48,69.02,70.24,292050,MSN
2019-04-11 07:00:00,70.24,71.29,70.24,71.05,188220,MSN
2019-04-12 07:00:00,71.13,71.37,70.48,71.13,95630,MSN
2019-04-16 07:00:00,69.67,71.37,69.19,71.13,290800,MSN
2019-04-17 07:00:00,71.13,71.37,70.48,71.29,730310,MSN
2019-04-18 07:00:00,69.75,71.21,69.67,69.67,407720,MSN
2019-04-19 07:00:00,69.67,71.29,69.67,70.97,57480,MSN
2019-04-22 07:00:00,70.97,71.29,70.89,71.21,292240,MSN
2019-04-23 07:00:00,70.56,71.29,70.56,71.21,338520,MSN
2019-04-24 07:00:00,70.16,71.37,70.16,71.29,573510,MSN
2019-04-25 07:00:00,71.29,71.29,70.56,70.81,271410,MSN
2019-04-26 07:00:00,70.48,70.81,70.0,70.4,284150,MSN
2019-05-02 07:00:00,70.48,71.7,70.08,71.7,678660,MSN
2019-05-03 07:00:00,71.86,73.24,70.73,71.78,868120,MSN
2019-05-06 07:00:00,71.62,71.62,70.08,70.48,90180,MSN
2019-05-07 07:00:00,70.48,71.86,70.48,71.21,337420,MSN
2019-05-08 07:00:00,70.48,71.7,70.48,71.13,509850,MSN
2019-05-09 07:00:00,71.13,71.45,70.89,71.05,221500,MSN
2019-05-10 07:00:00,70.56,71.54,70.56,70.89,189070,MSN
2019-05-13 07:00:00,70.89,71.21,70.24,70.24,291940,MSN
2019-05-14 07:00:00,68.13,71.13,68.13,70.08,327800,MSN
2019-05-15 07:00:00,70.08,71.7,70.08,71.13,202520,MSN
2019-05-16 07:00:00,71.13,71.54,70.48,70.48,359320,MSN
2019-05-17 07:00:00,69.83,71.13,69.83,70.08,419260,MSN
2019-05-20 07:00:00,70.16,71.45,70.08,71.29,396980,MSN
2019-05-21 07:00:00,71.29,74.21,71.29,73.97,976350,MSN
2019-05-22 07:00:00,72.91,74.21,72.75,72.91,436560,MSN
2019-05-23 07:00:00,72.75,73.56,72.1,72.91,254800,MSN
2019-05-24 07:00:00,72.91,73.32,70.64,70.64,687440,MSN
2019-05-27 07:00:00,70.56,71.94,70.56,71.62,353840,MSN
2019-05-28 07:00:00,71.29,71.7,70.08,70.48,642340,MSN
2019-05-29 07:00:00,70.16,71.05,70.08,70.73,313820,MSN
2019-05-30 07:00:00,70.73,71.13,69.27,69.27,309190,MSN
2019-05-31 07:00:00,69.35,70.32,69.35,69.51,463440,MSN
