time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,3.66,3.67,3.54,3.54,37950,NKG
2019-01-03 07:00:00,3.54,3.61,3.37,3.37,323560,NKG
2019-01-04 07:00:00,3.37,3.37,3.17,3.28,67540,NKG
2019-01-07 07:00:00,3.28,3.39,3.28,3.28,76720,NKG
2019-01-08 07:00:00,3.28,3.34,3.26,3.28,79850,NKG
2019-01-09 07:00:00,3.28,3.34,3.28,3.28,302440,NKG
2019-01-10 07:00:00,3.3,3.33,3.25,3.25,113700,NKG
2019-01-11 07:00:00,3.25,3.31,3.23,3.24,303410,NKG
2019-01-14 07:00:00,3.25,3.29,3.21,3.21,245880,NKG
2019-01-15 07:00:00,3.2,3.25,3.2,3.25,237420,NKG
2019-01-16 07:00:00,3.25,3.29,3.19,3.19,84770,NKG
2019-01-17 07:00:00,3.19,3.19,3.07,3.07,226660,NKG
2019-01-18 07:00:00,3.07,3.1,3.04,3.04,196690,NKG
2019-01-21 07:00:00,3.04,3.05,3.0,3.02,133270,NKG
2019-01-22 07:00:00,3.0,3.04,2.97,2.99,251230,NKG
2019-01-23 07:00:00,3.0,3.01,2.97,2.99,203620,NKG
2019-01-24 07:00:00,2.98,3.01,2.97,2.97,173370,NKG
2019-01-25 07:00:00,2.97,3.0,2.96,2.97,260720,NKG
2019-01-28 07:00:00,2.97,3.0,2.95,2.96,305740,NKG
2019-01-29 07:00:00,2.96,2.97,2.94,2.95,199610,NKG
2019-01-30 07:00:00,2.95,2.95,2.9,2.92,307930,NKG
2019-01-31 07:00:00,2.86,2.92,2.82,2.84,501950,NKG
2019-02-01 07:00:00,2.65,2.88,2.65,2.79,312810,NKG
2019-02-11 07:00:00,2.82,2.86,2.82,2.86,163770,NKG
2019-02-12 07:00:00,2.86,3.06,2.86,3.06,420480,NKG
2019-02-13 07:00:00,3.15,3.27,3.14,3.27,1124020,NKG
2019-02-14 07:00:00,3.34,3.5,3.34,3.5,1921910,NKG
2019-02-15 07:00:00,3.45,3.57,3.44,3.54,1079820,NKG
2019-02-18 07:00:00,3.53,3.57,3.46,3.48,493470,NKG
2019-02-19 07:00:00,3.48,3.48,3.4,3.4,487310,NKG
2019-02-20 07:00:00,3.37,3.44,3.35,3.44,514040,NKG
2019-02-21 07:00:00,3.44,3.46,3.41,3.43,498740,NKG
2019-02-22 07:00:00,3.43,3.66,3.38,3.58,1179310,NKG
2019-02-25 07:00:00,3.67,3.69,3.6,3.62,1852910,NKG
2019-02-26 07:00:00,3.62,3.72,3.62,3.63,1097600,NKG
2019-02-27 07:00:00,3.64,3.69,3.62,3.63,1102310,NKG
2019-02-28 07:00:00,3.63,3.66,3.54,3.58,652800,NKG
2019-03-01 07:00:00,3.57,3.62,3.56,3.58,533120,NKG
2019-03-04 07:00:00,3.72,3.74,3.62,3.69,1333130,NKG
2019-03-05 07:00:00,3.77,3.81,3.69,3.69,1724800,NKG
2019-03-06 07:00:00,3.69,3.72,3.62,3.62,484710,NKG
2019-03-07 07:00:00,3.69,3.69,3.49,3.49,898500,NKG
2019-03-08 07:00:00,3.38,3.48,3.35,3.37,992340,NKG
2019-03-11 07:00:00,3.37,3.48,3.37,3.42,265270,NKG
2019-03-12 07:00:00,3.48,3.48,3.38,3.38,824150,NKG
2019-03-13 07:00:00,3.44,3.44,3.39,3.39,460020,NKG
2019-03-14 07:00:00,3.39,3.41,3.37,3.39,453770,NKG
2019-03-15 07:00:00,3.39,3.39,3.3,3.33,472200,NKG
2019-03-18 07:00:00,3.34,3.42,3.34,3.4,706390,NKG
2019-03-19 07:00:00,3.39,3.4,3.34,3.36,267110,NKG
2019-03-20 07:00:00,3.36,3.43,3.36,3.4,516770,NKG
2019-03-21 07:00:00,3.38,3.41,3.34,3.35,195100,NKG
2019-03-22 07:00:00,3.39,3.39,3.35,3.37,212390,NKG
2019-03-25 07:00:00,3.37,3.37,3.25,3.26,239350,NKG
2019-03-26 07:00:00,3.28,3.31,3.26,3.31,113130,NKG
2019-03-27 07:00:00,3.3,3.35,3.3,3.34,244870,NKG
2019-03-28 07:00:00,3.34,3.41,3.33,3.39,413200,NKG
2019-03-29 07:00:00,3.39,3.4,3.38,3.39,156910,NKG
2019-04-01 07:00:00,3.39,3.41,3.36,3.41,514230,NKG
2019-04-02 07:00:00,3.44,3.51,3.41,3.41,305310,NKG
2019-04-03 07:00:00,3.4,3.62,3.37,3.62,1839110,NKG
