time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,33.47,33.47,32.59,33.47,478860,NVL
2019-01-03 07:00:00,33.16,33.16,32.54,32.7,629490,NVL
2019-01-04 07:00:00,32.44,32.96,31.66,32.8,626290,NVL
2019-01-07 07:00:00,32.44,32.7,31.71,32.18,721650,NVL
2019-01-08 07:00:00,32.18,32.18,29.94,29.94,621630,NVL
2019-01-09 07:00:00,30.0,31.14,27.87,30.52,1165350,NVL
2019-01-10 07:00:00,30.1,31.04,30.1,30.72,470210,NVL
2019-01-11 07:00:00,30.36,31.04,30.36,30.78,627520,NVL
2019-01-14 07:00:00,30.36,30.46,29.53,30.15,717640,NVL
2019-01-15 07:00:00,29.84,30.31,29.53,30.15,573010,NVL
2019-01-16 07:00:00,29.94,30.15,29.48,29.84,475490,NVL
2019-01-17 07:00:00,29.63,29.84,29.48,29.48,396210,NVL
2019-01-18 07:00:00,29.48,29.84,29.48,29.58,324670,NVL
2019-01-21 07:00:00,29.58,29.79,29.53,29.63,354580,NVL
2019-01-22 07:00:00,29.69,29.74,29.17,29.53,535670,NVL
2019-01-23 07:00:00,29.53,29.69,29.32,29.69,453150,NVL
2019-01-24 07:00:00,29.63,29.74,29.43,29.63,412780,NVL
2019-01-25 07:00:00,29.63,29.79,29.06,29.58,352410,NVL
2019-01-28 07:00:00,29.58,29.69,29.48,29.63,421070,NVL
2019-01-29 07:00:00,29.63,29.79,29.43,29.79,508370,NVL
2019-01-30 07:00:00,29.58,29.74,29.53,29.63,394750,NVL
2019-01-31 07:00:00,29.58,29.69,29.22,29.37,554770,NVL
2019-02-01 07:00:00,29.37,29.53,28.96,29.43,571270,NVL
2019-02-11 07:00:00,29.48,30.05,29.43,29.84,440830,NVL
2019-02-12 07:00:00,29.84,30.0,29.74,29.84,426710,NVL
2019-02-13 07:00:00,29.84,30.0,29.63,29.84,456420,NVL
2019-02-14 07:00:00,29.89,30.72,29.84,30.05,656330,NVL
2019-02-15 07:00:00,30.05,30.26,29.84,29.84,511960,NVL
2019-02-18 07:00:00,29.84,30.2,29.84,30.05,583930,NVL
2019-02-19 07:00:00,30.05,30.2,30.0,30.1,634820,NVL
2019-02-20 07:00:00,30.0,30.2,30.0,30.15,424150,NVL
2019-02-21 07:00:00,30.15,30.26,30.0,30.26,720560,NVL
2019-02-22 07:00:00,30.31,30.67,30.1,30.31,592190,NVL
2019-02-25 07:00:00,30.36,31.81,30.36,31.04,735710,NVL
2019-02-26 07:00:00,31.4,31.76,30.83,30.83,443700,NVL
2019-02-27 07:00:00,30.83,31.4,30.83,30.93,652490,NVL
2019-02-28 07:00:00,31.14,31.5,29.84,29.84,1361480,NVL
2019-03-01 07:00:00,29.63,30.72,29.63,30.72,495790,NVL
2019-03-04 07:00:00,30.72,31.14,30.41,30.88,500190,NVL
2019-03-05 07:00:00,30.78,30.98,30.36,30.52,536160,NVL
2019-03-06 07:00:00,30.52,30.52,29.37,29.58,880920,NVL
2019-03-07 07:00:00,29.58,30.05,29.58,29.79,472630,NVL
2019-03-08 07:00:00,29.58,30.46,29.58,29.84,445530,NVL
2019-03-11 07:00:00,30.1,31.45,30.1,31.19,662430,NVL
2019-03-12 07:00:00,31.24,32.44,31.24,32.44,1139030,NVL
2019-03-13 07:00:00,32.44,32.59,31.66,31.76,359170,NVL
2019-03-14 07:00:00,31.66,32.23,31.4,32.12,394680,NVL
2019-03-15 07:00:00,32.18,32.49,31.09,31.09,2531220,NVL
2019-03-18 07:00:00,31.24,31.66,30.62,30.72,428600,NVL
2019-03-19 07:00:00,30.78,30.88,30.2,30.31,413930,NVL
2019-03-20 07:00:00,30.36,30.72,30.26,30.26,434440,NVL
2019-03-21 07:00:00,30.1,30.52,29.58,29.58,493820,NVL
2019-03-22 07:00:00,29.69,30.05,29.53,29.79,409030,NVL
2019-03-25 07:00:00,29.06,29.58,29.06,29.27,522710,NVL
2019-03-26 07:00:00,29.27,29.63,29.27,29.37,530190,NVL
2019-03-27 07:00:00,29.58,29.79,29.37,29.48,417910,NVL
2019-03-28 07:00:00,29.53,29.89,29.17,29.17,534170,NVL
2019-03-29 07:00:00,29.22,29.58,28.86,28.96,972430,NVL
2019-04-01 07:00:00,29.06,29.37,28.65,28.8,752930,NVL
2019-04-02 07:00:00,28.91,29.06,28.7,28.96,465220,NVL
2019-04-03 07:00:00,28.75,29.48,28.75,29.17,420450,NVL
2019-04-04 07:00:00,29.32,29.53,29.22,29.22,430400,NVL
2019-04-05 07:00:00,29.32,29.69,29.32,29.53,303290,NVL
2019-04-08 07:00:00,29.69,29.84,29.58,29.63,421280,NVL
2019-04-09 07:00:00,29.69,29.79,29.32,29.37,339610,NVL
2019-04-10 07:00:00,29.32,29.63,29.17,29.37,375930,NVL
2019-04-11 07:00:00,29.43,29.58,29.37,29.43,351620,NVL
2019-04-12 07:00:00,29.43,29.58,29.06,29.06,457630,NVL
2019-04-16 07:00:00,28.8,29.12,28.54,29.01,393490,NVL
2019-04-17 07:00:00,29.01,29.43,28.91,29.17,405960,NVL
2019-04-18 07:00:00,29.06,29.53,28.8,29.27,438370,NVL
2019-04-19 07:00:00,29.32,29.69,29.32,29.69,327400,NVL
2019-04-22 07:00:00,29.84,29.94,29.58,29.74,401150,NVL
2019-04-23 07:00:00,29.79,30.36,29.69,30.15,441410,NVL
2019-04-24 07:00:00,30.36,30.62,30.15,30.31,373240,NVL
2019-04-25 07:00:00,30.31,30.36,29.84,30.2,310850,NVL
2019-04-26 07:00:00,30.1,30.78,30.1,30.67,616910,NVL
2019-05-02 07:00:00,30.72,30.72,30.05,30.36,369380,NVL
2019-05-03 07:00:00,30.36,30.88,30.15,30.88,542070,NVL
2019-05-06 07:00:00,30.83,30.83,30.05,30.15,423290,NVL
2019-05-07 07:00:00,30.1,30.36,29.48,29.58,489700,NVL
2019-05-08 07:00:00,29.48,29.84,29.32,29.79,381130,NVL
2019-05-09 07:00:00,29.74,30.1,29.69,29.94,303290,NVL
2019-05-10 07:00:00,29.94,30.41,29.94,30.31,424240,NVL
2019-05-13 07:00:00,30.31,30.31,30.0,30.2,422530,NVL
2019-05-14 07:00:00,30.1,30.31,30.0,30.26,394650,NVL
2019-05-15 07:00:00,30.31,30.41,30.15,30.36,426210,NVL
2019-05-16 07:00:00,30.36,30.57,30.36,30.36,554790,NVL
2019-05-17 07:00:00,30.36,30.52,30.36,30.36,432960,NVL
2019-05-20 07:00:00,30.41,30.98,30.41,30.83,531930,NVL
2019-05-21 07:00:00,30.98,30.98,30.62,30.62,403610,NVL
2019-05-22 07:00:00,29.94,30.72,29.94,29.94,390180,NVL
2019-05-23 07:00:00,29.94,30.26,29.79,30.2,359960,NVL
2019-05-24 07:00:00,30.2,30.78,30.0,30.2,420410,NVL
2019-05-27 07:00:00,30.2,30.41,30.2,30.26,436640,NVL
2019-05-28 07:00:00,30.26,30.46,30.05,30.36,462070,NVL
2019-05-29 07:00:00,30.36,30.67,30.2,30.67,504600,NVL
2019-05-30 07:00:00,30.62,31.35,30.57,31.19,709510,NVL
2019-05-31 07:00:00,31.4,31.55,31.19,31.24,854450,NVL
2019-06-03 07:00:00,31.14,31.55,30.98,31.14,695210,NVL
2019-06-04 07:00:00,31.04,31.35,30.62,31.24,601300,NVL
2019-06-05 07:00:00,31.35,31.61,31.19,31.4,465920,NVL
2019-06-06 07:00:00,31.14,31.5,30.67,31.3,561760,NVL
2019-06-07 07:00:00,31.35,31.76,31.3,31.5,579760,NVL
2019-06-10 07:00:00,31.61,31.92,30.93,31.5,642850,NVL
2019-06-11 07:00:00,31.5,31.66,31.35,31.4,621730,NVL
2019-06-12 07:00:00,31.4,31.55,31.09,31.09,466730,NVL
2019-06-13 07:00:00,30.88,31.19,30.52,30.62,546740,NVL
2019-06-14 07:00:00,30.62,30.88,30.62,30.83,553300,NVL
2019-06-17 07:00:00,30.72,30.88,29.84,30.0,596190,NVL
2019-06-18 07:00:00,30.0,30.1,29.43,29.48,514910,NVL
2019-06-19 07:00:00,29.79,29.89,29.53,29.79,374040,NVL
2019-06-20 07:00:00,29.79,30.2,29.69,29.89,437220,NVL
2019-06-21 07:00:00,29.58,30.05,28.91,29.58,1265270,NVL
2019-06-24 07:00:00,29.58,30.1,29.58,30.05,446590,NVL
2019-06-25 07:00:00,30.05,30.72,29.63,30.36,425910,NVL
2019-06-26 07:00:00,30.36,31.14,30.15,31.09,538680,NVL
2019-06-27 07:00:00,31.04,31.24,30.62,30.88,524560,NVL
2019-06-28 07:00:00,30.93,30.98,30.36,30.93,587910,NVL
2019-07-01 07:00:00,30.98,31.92,30.98,31.5,606940,NVL
2019-07-02 07:00:00,31.5,31.61,31.14,31.24,436450,NVL
2019-07-03 07:00:00,31.24,31.24,30.36,30.46,561990,NVL
2019-07-04 07:00:00,30.46,31.14,30.46,31.04,599060,NVL
2019-07-05 07:00:00,31.04,31.4,30.46,31.3,699870,NVL
2019-07-08 07:00:00,31.24,31.3,31.04,31.24,591610,NVL
2019-07-09 07:00:00,31.24,31.24,30.62,31.19,507590,NVL
2019-07-10 07:00:00,31.24,31.66,31.19,31.55,596220,NVL
2019-07-11 07:00:00,31.61,31.92,31.55,31.92,674460,NVL
2019-07-12 07:00:00,31.92,32.02,31.66,31.66,415550,NVL
2019-07-15 07:00:00,31.92,31.81,31.14,31.24,421920,NVL
2019-07-16 07:00:00,31.24,31.4,31.04,31.35,842500,NVL
2019-07-17 07:00:00,31.35,31.35,30.78,30.88,423500,NVL
2019-07-18 07:00:00,31.4,31.4,30.0,30.0,548040,NVL
2019-07-19 07:00:00,30.1,30.46,30.0,30.2,461110,NVL
2019-07-22 07:00:00,30.2,30.36,29.84,29.89,334520,NVL
2019-07-23 07:00:00,29.89,30.26,29.84,30.26,376050,NVL
2019-07-24 07:00:00,30.67,30.67,30.26,30.57,326770,NVL
2019-07-25 07:00:00,30.57,30.67,30.36,30.36,349760,NVL
2019-07-26 07:00:00,30.36,30.41,30.15,30.26,350980,NVL
2019-07-29 07:00:00,30.26,30.57,30.0,30.36,361270,NVL
2019-07-30 07:00:00,30.36,30.41,30.15,30.31,331510,NVL
2019-07-31 07:00:00,30.31,30.78,29.89,29.94,494760,NVL
2019-08-01 07:00:00,29.94,30.88,29.94,30.72,463230,NVL
2019-08-02 07:00:00,30.72,31.19,30.15,31.19,566240,NVL
2019-08-05 07:00:00,30.98,31.24,30.88,30.88,430970,NVL
2019-08-06 07:00:00,30.67,30.88,30.0,30.57,487730,NVL
2019-08-07 07:00:00,30.67,30.98,30.31,30.93,419140,NVL
2019-08-08 07:00:00,30.88,31.04,30.41,30.57,496840,NVL
2019-08-09 07:00:00,30.46,31.19,30.46,31.14,664290,NVL
2019-08-12 07:00:00,31.14,31.24,30.98,31.09,386130,NVL
2019-08-13 07:00:00,31.04,31.14,30.67,30.98,704020,NVL
2019-08-14 07:00:00,31.04,31.5,30.98,31.24,529230,NVL
2019-08-15 07:00:00,31.14,32.12,30.88,32.12,614480,NVL
2019-08-16 07:00:00,32.18,32.18,31.92,32.07,408840,NVL
2019-08-19 07:00:00,31.97,32.33,31.97,32.23,403730,NVL
2019-08-20 07:00:00,32.18,33.79,32.07,32.7,394010,NVL
2019-08-21 07:00:00,32.49,32.85,32.44,32.7,439290,NVL
2019-08-22 07:00:00,32.54,32.75,32.33,32.59,287720,NVL
2019-08-23 07:00:00,32.28,32.54,32.12,32.18,456890,NVL
2019-08-26 07:00:00,32.12,32.23,31.76,32.18,699530,NVL
2019-08-27 07:00:00,32.23,32.28,31.5,31.5,841870,NVL
2019-08-28 07:00:00,32.02,32.23,31.5,32.12,776100,NVL
2019-08-29 07:00:00,31.92,32.18,31.5,32.12,688220,NVL
2019-08-30 07:00:00,32.12,33.22,32.12,32.33,515750,NVL
2019-09-03 07:00:00,32.33,32.44,32.02,32.23,485100,NVL
2019-09-04 07:00:00,32.33,32.44,31.66,32.33,446770,NVL
2019-09-05 07:00:00,32.33,32.49,32.18,32.18,399160,NVL
2019-09-06 07:00:00,31.92,32.28,31.55,32.23,693300,NVL
2019-09-09 07:00:00,32.23,32.28,31.81,31.81,355340,NVL
2019-09-10 07:00:00,32.12,32.18,31.76,32.07,641960,NVL
2019-09-11 07:00:00,32.07,32.18,32.02,32.02,352710,NVL
2019-09-12 07:00:00,32.07,32.07,31.87,32.02,285150,NVL
2019-09-13 07:00:00,31.92,32.12,31.5,32.07,326570,NVL
2019-09-16 07:00:00,31.87,32.12,31.87,32.07,410970,NVL
2019-09-17 07:00:00,32.07,33.73,31.87,33.22,430510,NVL
2019-09-18 07:00:00,33.32,33.73,32.7,32.96,273460,NVL
2019-09-19 07:00:00,32.96,33.01,32.23,32.8,315370,NVL
2019-09-20 07:00:00,32.96,32.96,31.97,31.97,838140,NVL
2019-09-23 07:00:00,32.07,32.7,31.97,31.97,324460,NVL
2019-09-24 07:00:00,31.97,32.12,31.66,31.92,304940,NVL
2019-09-25 07:00:00,31.92,32.28,31.76,32.18,293140,NVL
2019-09-26 07:00:00,32.18,32.44,32.07,32.28,312650,NVL
2019-09-27 07:00:00,32.44,32.7,32.28,32.7,241230,NVL
2019-09-30 07:00:00,32.7,33.27,32.64,33.11,297110,NVL
2019-10-01 07:00:00,32.96,33.22,32.85,33.01,260660,NVL
2019-10-02 07:00:00,32.85,33.22,32.75,32.96,456840,NVL
2019-10-03 07:00:00,32.7,33.11,32.7,33.06,310680,NVL
2019-10-04 07:00:00,32.7,33.22,32.7,33.01,357440,NVL
2019-10-07 07:00:00,33.01,33.11,32.18,32.44,292390,NVL
2019-10-08 07:00:00,32.44,32.59,32.18,32.49,325800,NVL
2019-10-09 07:00:00,32.49,32.59,32.12,32.33,291690,NVL
2019-10-10 07:00:00,32.33,32.7,31.71,31.81,361150,NVL
2019-10-11 07:00:00,31.81,32.12,31.66,32.12,349300,NVL
2019-10-14 07:00:00,32.12,33.06,31.87,32.18,764430,NVL
2019-10-15 07:00:00,32.28,32.28,32.07,32.23,404370,NVL
2019-10-16 07:00:00,32.23,32.8,31.87,32.18,445580,NVL
2019-10-17 07:00:00,32.18,32.23,31.3,31.3,574340,NVL
2019-10-18 07:00:00,31.35,31.81,31.09,31.19,431680,NVL
2019-10-21 07:00:00,31.24,31.4,31.09,31.3,284980,NVL
2019-10-22 07:00:00,31.24,31.61,31.19,31.4,308430,NVL
2019-10-23 07:00:00,31.4,31.76,31.14,31.4,294920,NVL
2019-10-24 07:00:00,31.4,31.66,31.35,31.61,366410,NVL
2019-10-25 07:00:00,31.61,31.76,31.3,31.4,298700,NVL
2019-10-28 07:00:00,31.4,31.4,30.57,30.72,457000,NVL
2019-10-29 07:00:00,30.72,31.19,30.62,30.67,419520,NVL
2019-10-30 07:00:00,30.67,31.14,30.52,30.78,345640,NVL
2019-10-31 07:00:00,30.78,30.88,30.62,30.88,828000,NVL
2019-11-01 07:00:00,30.88,30.88,30.46,30.62,595850,NVL
2019-11-04 07:00:00,30.62,30.88,30.57,30.72,424970,NVL
2019-11-05 07:00:00,30.72,30.83,30.26,30.36,420010,NVL
2019-11-06 07:00:00,30.36,30.57,30.31,30.46,368070,NVL
2019-11-07 07:00:00,30.52,30.62,29.89,30.15,393400,NVL
2019-11-08 07:00:00,30.15,30.26,30.05,30.26,296700,NVL
2019-11-11 07:00:00,30.41,30.41,29.94,30.15,238100,NVL
2019-11-12 07:00:00,30.2,30.2,29.94,30.15,322070,NVL
2019-11-13 07:00:00,30.15,30.15,29.43,29.69,510690,NVL
2019-11-14 07:00:00,29.69,30.36,29.69,30.36,340310,NVL
2019-11-15 07:00:00,30.46,30.62,30.15,30.36,286990,NVL
2019-11-18 07:00:00,30.36,30.41,30.1,30.2,273930,NVL
2019-11-19 07:00:00,30.2,30.26,30.05,30.26,268430,NVL
2019-11-20 07:00:00,30.26,30.36,30.1,30.31,327070,NVL
2019-11-21 07:00:00,30.31,30.36,29.48,29.58,911520,NVL
2019-11-22 07:00:00,29.69,30.0,29.48,29.58,396610,NVL
2019-11-25 07:00:00,29.58,30.1,29.53,29.69,279130,NVL
