time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,40.12,41.24,40.12,40.42,380020,PLX
2019-01-03 07:00:00,40.42,40.87,39.01,39.83,450490,PLX
2019-01-04 07:00:00,39.38,41.01,39.38,40.79,302070,PLX
2019-01-07 07:00:00,41.24,41.39,40.94,41.01,187920,PLX
2019-01-08 07:00:00,41.24,41.24,39.6,40.2,352050,PLX
2019-01-09 07:00:00,40.79,41.01,40.12,40.27,343920,PLX
2019-01-10 07:00:00,40.72,41.09,40.42,40.94,280830,PLX
2019-01-11 07:00:00,41.16,41.61,40.87,41.09,337760,PLX
2019-01-14 07:00:00,41.09,41.24,40.2,40.79,125040,PLX
2019-01-15 07:00:00,40.79,41.46,40.57,41.09,230330,PLX
2019-01-16 07:00:00,41.61,41.83,41.16,41.24,252480,PLX
2019-01-17 07:00:00,41.24,41.39,40.64,40.64,197100,PLX
2019-01-18 07:00:00,40.64,41.01,40.42,40.42,188280,PLX
2019-01-21 07:00:00,40.87,41.53,40.34,41.09,273200,PLX
2019-01-22 07:00:00,40.87,40.87,39.68,39.75,729490,PLX
2019-01-23 07:00:00,39.38,40.05,39.38,39.53,486420,PLX
2019-01-24 07:00:00,39.53,39.97,39.45,39.53,653530,PLX
2019-01-25 07:00:00,39.53,40.05,39.53,39.97,169160,PLX
2019-01-28 07:00:00,40.12,40.27,39.68,39.75,516670,PLX
2019-01-29 07:00:00,39.68,39.83,39.45,39.75,311730,PLX
2019-01-30 07:00:00,39.75,39.9,39.6,39.6,452470,PLX
2019-01-31 07:00:00,40.12,40.57,39.6,40.05,911200,PLX
2019-02-01 07:00:00,39.83,40.27,39.75,39.75,1199400,PLX
2019-02-11 07:00:00,40.49,41.31,40.27,41.31,746520,PLX
2019-02-12 07:00:00,41.61,41.83,41.16,41.39,957300,PLX
2019-02-13 07:00:00,41.39,42.57,41.39,42.43,1941970,PLX
2019-02-14 07:00:00,42.35,42.65,42.05,42.13,1004440,PLX
2019-02-15 07:00:00,42.13,42.8,41.98,42.13,1351010,PLX
2019-02-18 07:00:00,42.35,43.84,42.35,43.84,2268090,PLX
2019-02-19 07:00:00,43.69,43.84,42.72,42.87,1293550,PLX
2019-02-20 07:00:00,42.87,42.87,42.05,42.2,927820,PLX
2019-02-21 07:00:00,42.28,43.39,42.28,43.32,1723040,PLX
2019-02-22 07:00:00,42.95,43.84,42.95,43.47,1129680,PLX
2019-02-25 07:00:00,43.84,44.14,43.54,43.54,1366700,PLX
2019-02-26 07:00:00,43.39,43.47,42.35,42.35,1456500,PLX
2019-02-27 07:00:00,42.72,42.8,41.91,42.13,1784860,PLX
2019-02-28 07:00:00,42.35,42.72,41.83,41.98,2532900,PLX
2019-03-01 07:00:00,42.35,43.62,41.98,43.54,2076360,PLX
2019-03-04 07:00:00,43.54,45.18,43.54,44.88,3433740,PLX
2019-03-05 07:00:00,44.51,45.03,43.91,44.14,2693520,PLX
2019-03-06 07:00:00,44.21,45.7,44.14,45.7,3156200,PLX
2019-03-07 07:00:00,45.7,46.07,45.25,45.32,1802470,PLX
2019-03-08 07:00:00,44.88,45.7,44.73,44.95,2534770,PLX
2019-03-11 07:00:00,44.95,45.1,44.43,44.88,2131290,PLX
2019-03-12 07:00:00,45.47,46.07,45.18,46.07,2858810,PLX
2019-03-13 07:00:00,46.07,46.66,45.77,45.92,2346380,PLX
2019-03-14 07:00:00,46.44,46.44,45.32,45.47,1532650,PLX
2019-03-15 07:00:00,45.47,46.51,45.25,46.36,2274270,PLX
2019-03-18 07:00:00,46.36,47.03,45.84,46.44,1714570,PLX
2019-03-19 07:00:00,46.44,46.66,45.92,46.14,1816150,PLX
2019-03-20 07:00:00,45.84,46.07,45.18,45.84,1699650,PLX
2019-03-21 07:00:00,46.07,46.22,43.1,44.21,2115260,PLX
2019-03-22 07:00:00,44.51,44.51,43.76,43.84,1606140,PLX
2019-03-25 07:00:00,43.02,43.47,42.65,43.1,1861980,PLX
2019-03-26 07:00:00,43.76,43.76,42.72,42.87,1212450,PLX
2019-03-27 07:00:00,43.76,43.84,43.1,43.69,621860,PLX
2019-03-28 07:00:00,43.39,44.36,43.1,44.21,836530,PLX
2019-03-29 07:00:00,44.21,44.58,44.06,44.14,1256540,PLX
2019-04-01 07:00:00,44.36,45.32,44.36,45.32,1200470,PLX
2019-04-02 07:00:00,45.7,45.84,44.73,44.8,655270,PLX
2019-04-03 07:00:00,44.8,45.4,44.73,45.18,829910,PLX
2019-04-04 07:00:00,45.18,45.4,45.03,45.18,608720,PLX
2019-04-05 07:00:00,45.18,45.7,45.03,45.62,773290,PLX
2019-04-08 07:00:00,46.07,46.59,45.7,46.51,1412570,PLX
2019-04-09 07:00:00,46.81,46.81,45.92,45.92,1635520,PLX
2019-04-10 07:00:00,45.55,45.92,45.1,45.32,830410,PLX
2019-04-11 07:00:00,45.55,45.55,45.03,45.18,607620,PLX
2019-04-12 07:00:00,44.95,45.4,44.8,45.32,424050,PLX
2019-04-16 07:00:00,44.73,45.47,44.73,45.32,775260,PLX
2019-04-17 07:00:00,45.55,46.14,45.4,45.4,1350850,PLX
2019-04-18 07:00:00,45.32,45.47,44.43,44.95,538860,PLX
2019-04-19 07:00:00,45.03,45.32,44.88,45.1,457310,PLX
2019-04-22 07:00:00,45.03,45.47,44.73,44.95,488510,PLX
2019-04-23 07:00:00,44.95,45.77,44.95,45.55,757150,PLX
2019-04-24 07:00:00,45.62,45.99,45.62,45.92,790290,PLX
2019-04-25 07:00:00,45.47,45.84,45.47,45.7,354690,PLX
2019-04-26 07:00:00,45.55,46.36,45.55,46.29,1410390,PLX
2019-05-02 07:00:00,46.66,46.66,46.07,46.44,443010,PLX
2019-05-03 07:00:00,46.44,46.44,45.77,45.77,332640,PLX
2019-05-06 07:00:00,45.18,45.55,44.95,45.32,1048040,PLX
2019-05-07 07:00:00,45.55,45.84,45.32,45.47,417000,PLX
2019-05-08 07:00:00,45.32,45.55,44.95,45.25,415580,PLX
2019-05-09 07:00:00,45.25,45.47,44.95,45.03,536070,PLX
2019-05-10 07:00:00,45.4,45.84,45.1,45.55,327390,PLX
2019-05-13 07:00:00,45.7,45.7,45.18,45.18,257440,PLX
2019-05-14 07:00:00,45.18,46.36,45.18,46.36,1070900,PLX
2019-05-15 07:00:00,46.59,48.3,46.59,47.85,1828520,PLX
2019-05-16 07:00:00,47.85,48.3,47.55,47.85,837330,PLX
2019-05-17 07:00:00,48.15,48.67,47.85,48.15,768370,PLX
2019-05-20 07:00:00,48.15,49.41,47.92,49.19,1066800,PLX
2019-05-21 07:00:00,49.19,49.26,48.44,48.74,736610,PLX
2019-05-22 07:00:00,49.26,49.41,48.74,49.26,988930,PLX
2019-05-23 07:00:00,49.04,50.15,48.44,50.15,1139760,PLX
2019-05-24 07:00:00,49.41,49.78,48.67,49.04,1466210,PLX
2019-05-27 07:00:00,49.04,49.34,48.82,49.04,653220,PLX
2019-05-28 07:00:00,49.34,50.08,48.96,50.08,760700,PLX
2019-05-29 07:00:00,49.86,49.86,49.41,49.63,534840,PLX
2019-05-30 07:00:00,50.25,50.41,49.94,50.1,701090,PLX
2019-05-31 07:00:00,49.86,49.94,48.63,48.78,1037660,PLX
2019-06-03 07:00:00,46.39,48.32,46.39,47.39,1010070,PLX
2019-06-04 07:00:00,47.93,48.09,47.39,48.09,385590,PLX
2019-06-05 07:00:00,48.7,48.7,47.86,47.93,289450,PLX
2019-06-06 07:00:00,46.77,48.16,46.77,47.7,347040,PLX
2019-06-07 07:00:00,48.32,48.32,47.24,48.24,329820,PLX
2019-06-10 07:00:00,48.24,48.78,48.09,48.24,277790,PLX
2019-06-11 07:00:00,48.01,48.63,48.01,48.24,371780,PLX
2019-06-12 07:00:00,48.24,48.24,47.78,47.78,276490,PLX
2019-06-13 07:00:00,47.39,47.93,47.31,47.55,188640,PLX
2019-06-14 07:00:00,47.86,48.01,47.47,47.47,138480,PLX
2019-06-17 07:00:00,47.93,47.93,47.24,47.39,204660,PLX
2019-06-18 07:00:00,47.24,47.55,46.93,47.16,210760,PLX
2019-06-19 07:00:00,47.55,47.93,47.31,47.55,207820,PLX
2019-06-20 07:00:00,47.86,49.4,47.55,49.09,839620,PLX
2019-06-21 07:00:00,48.7,49.48,48.47,48.7,501900,PLX
2019-06-24 07:00:00,48.7,48.7,48.09,48.32,489060,PLX
2019-06-25 07:00:00,48.24,48.24,47.7,47.86,589610,PLX
2019-06-26 07:00:00,47.86,48.63,47.86,48.55,296970,PLX
2019-06-27 07:00:00,48.4,48.63,47.86,47.86,217100,PLX
2019-06-28 07:00:00,48.16,48.32,46.0,46.0,597200,PLX
2019-07-01 07:00:00,47.93,48.94,47.62,48.94,784510,PLX
2019-07-02 07:00:00,49.02,49.71,48.94,49.63,2425770,PLX
2019-07-03 07:00:00,49.56,49.79,49.32,49.48,1463210,PLX
2019-07-04 07:00:00,49.48,49.79,49.4,49.71,1755450,PLX
2019-07-05 07:00:00,49.94,50.02,49.71,49.86,2258300,PLX
2019-07-08 07:00:00,50.1,50.1,49.32,49.4,1660650,PLX
2019-07-09 07:00:00,49.4,49.56,49.09,49.48,1514430,PLX
2019-07-10 07:00:00,49.4,49.63,49.32,49.48,1606680,PLX
2019-07-11 07:00:00,49.56,50.02,49.56,49.94,920080,PLX
2019-07-12 07:00:00,50.1,50.1,49.79,49.86,3474210,PLX
2019-07-15 07:00:00,50.1,50.17,49.86,49.94,446330,PLX
2019-07-16 07:00:00,49.86,49.94,49.56,49.71,2151300,PLX
2019-07-17 07:00:00,49.79,49.94,49.56,49.71,2686790,PLX
2019-07-18 07:00:00,49.71,49.79,49.56,49.63,2228450,PLX
2019-07-19 07:00:00,49.63,49.79,49.56,49.56,1465170,PLX
2019-07-22 07:00:00,49.48,49.86,49.32,49.63,1367300,PLX
2019-07-23 07:00:00,49.63,49.86,49.56,49.63,1450530,PLX
2019-07-24 07:00:00,49.86,51.18,49.86,51.02,2628590,PLX
2019-07-25 07:00:00,51.41,51.41,50.56,50.79,1070900,PLX
2019-07-26 07:00:00,50.79,51.33,50.64,50.87,859570,PLX
2019-07-29 07:00:00,50.79,50.79,49.63,50.02,1297120,PLX
2019-07-30 07:00:00,50.02,50.56,49.79,49.94,878760,PLX
2019-07-31 07:00:00,49.94,50.64,49.94,50.64,1004830,PLX
2019-08-01 07:00:00,50.41,50.64,50.1,50.25,525830,PLX
2019-08-02 07:00:00,49.56,50.48,49.09,50.25,960480,PLX
2019-08-05 07:00:00,50.25,50.25,48.78,48.78,1319140,PLX
2019-08-06 07:00:00,47.55,48.24,47.31,47.39,1304750,PLX
2019-08-07 07:00:00,47.55,48.24,47.31,47.93,797090,PLX
2019-08-08 07:00:00,47.55,48.4,47.47,48.09,457730,PLX
2019-08-09 07:00:00,48.09,48.32,47.93,48.09,347730,PLX
2019-08-12 07:00:00,48.09,48.32,47.78,48.24,383980,PLX
2019-08-13 07:00:00,48.24,49.09,47.93,48.86,691380,PLX
2019-08-14 07:00:00,48.94,49.17,48.24,48.24,267530,PLX
2019-08-15 07:00:00,47.24,47.86,47.16,47.55,462000,PLX
2019-08-16 07:00:00,47.55,48.24,47.55,48.24,399760,PLX
2019-08-19 07:00:00,48.24,48.7,48.24,48.4,150370,PLX
2019-08-20 07:00:00,48.4,48.47,48.16,48.32,689610,PLX
2019-08-21 07:00:00,48.32,48.86,48.24,48.4,562620,PLX
2019-08-22 07:00:00,48.55,48.55,48.32,48.4,125060,PLX
2019-08-23 07:00:00,48.63,48.63,47.78,47.93,192970,PLX
2019-08-26 07:00:00,47.47,47.55,46.77,47.0,594700,PLX
2019-08-27 07:00:00,47.16,47.39,46.77,47.31,569790,PLX
2019-08-28 07:00:00,47.62,47.62,47.0,47.16,279140,PLX
2019-08-29 07:00:00,47.31,47.31,46.93,47.16,401390,PLX
2019-08-30 07:00:00,47.31,47.78,47.24,47.55,266590,PLX
2019-09-03 07:00:00,47.47,47.62,46.93,46.93,191130,PLX
2019-09-04 07:00:00,47.47,47.0,46.31,46.93,339310,PLX
2019-09-05 07:00:00,47.0,47.31,46.93,47.16,203850,PLX
2019-09-06 07:00:00,47.31,47.31,46.85,46.85,121490,PLX
2019-09-09 07:00:00,46.85,48.01,46.77,47.86,384500,PLX
2019-09-10 07:00:00,47.86,48.63,47.86,47.93,512930,PLX
2019-09-11 07:00:00,48.01,48.16,47.08,47.55,151290,PLX
2019-09-12 07:00:00,47.86,47.93,47.39,47.55,124610,PLX
2019-09-13 07:00:00,47.16,48.16,47.16,47.78,183100,PLX
2019-09-16 07:00:00,48.7,48.86,48.16,48.4,485880,PLX
2019-09-17 07:00:00,48.47,48.55,47.93,48.32,143200,PLX
2019-09-18 07:00:00,48.24,48.24,47.31,47.39,405970,PLX
2019-09-19 07:00:00,47.39,47.55,47.08,47.24,216260,PLX
2019-09-20 07:00:00,47.24,47.55,47.24,47.31,312880,PLX
2019-09-23 07:00:00,47.31,47.78,47.31,47.62,283030,PLX
2019-09-24 07:00:00,47.62,47.62,47.08,47.08,356990,PLX
2019-09-25 07:00:00,47.08,47.08,46.54,46.54,426000,PLX
2019-09-26 07:00:00,46.54,46.85,46.39,46.85,353370,PLX
2019-09-27 07:00:00,46.7,47.31,46.62,46.77,338900,PLX
2019-09-30 07:00:00,47.0,47.08,46.62,46.77,328980,PLX
2019-10-01 07:00:00,46.77,47.08,46.54,46.85,259680,PLX
2019-10-02 07:00:00,46.85,47.0,46.46,46.46,318030,PLX
2019-10-03 07:00:00,46.39,46.46,45.69,46.39,286780,PLX
2019-10-04 07:00:00,46.0,46.0,44.84,44.84,1596720,PLX
2019-10-07 07:00:00,44.84,45.46,44.84,44.99,514690,PLX
2019-10-08 07:00:00,44.99,45.15,44.76,45.07,350280,PLX
2019-10-09 07:00:00,44.99,44.99,44.61,44.68,391020,PLX
2019-10-10 07:00:00,44.61,44.99,43.99,43.99,559760,PLX
2019-10-11 07:00:00,44.07,45.23,44.07,45.23,485200,PLX
2019-10-14 07:00:00,45.61,45.77,45.3,45.3,242490,PLX
2019-10-15 07:00:00,45.3,45.46,45.23,45.3,184230,PLX
2019-10-16 07:00:00,45.3,45.38,44.84,44.92,267570,PLX
2019-10-17 07:00:00,44.92,45.23,44.38,44.53,251210,PLX
2019-10-18 07:00:00,44.84,44.99,44.61,44.76,132570,PLX
2019-10-21 07:00:00,44.3,44.76,44.3,44.45,127700,PLX
2019-10-22 07:00:00,44.3,44.68,44.3,44.45,113800,PLX
2019-10-23 07:00:00,44.53,44.84,44.14,44.22,158830,PLX
2019-10-24 07:00:00,44.22,44.45,44.22,44.45,91820,PLX
2019-10-25 07:00:00,44.68,44.68,44.45,44.68,79760,PLX
2019-10-28 07:00:00,44.53,45.07,44.53,44.84,176010,PLX
2019-10-29 07:00:00,44.68,45.3,44.68,45.07,221780,PLX
2019-10-30 07:00:00,44.99,46.23,44.92,45.84,440360,PLX
2019-10-31 07:00:00,45.84,46.0,45.54,45.84,173690,PLX
2019-11-01 07:00:00,45.61,46.0,45.23,45.92,217150,PLX
2019-11-04 07:00:00,46.0,46.54,46.0,46.08,415000,PLX
2019-11-05 07:00:00,46.15,46.31,46.0,46.15,185570,PLX
2019-11-06 07:00:00,46.15,46.15,45.77,45.77,103730,PLX
2019-11-07 07:00:00,45.92,45.92,45.46,45.54,265630,PLX
2019-11-08 07:00:00,45.46,45.77,45.46,45.61,207400,PLX
2019-11-11 07:00:00,45.61,45.92,45.46,45.69,152130,PLX
2019-11-12 07:00:00,45.69,46.46,45.61,46.08,695520,PLX
2019-11-13 07:00:00,46.23,46.46,46.0,46.08,470780,PLX
2019-11-14 07:00:00,46.08,46.77,46.08,46.46,467570,PLX
2019-11-15 07:00:00,46.46,46.54,46.31,46.31,253570,PLX
2019-11-18 07:00:00,46.93,46.93,45.77,45.77,205630,PLX
2019-11-19 07:00:00,46.08,46.39,45.77,46.39,219050,PLX
2019-11-20 07:00:00,46.15,46.39,46.0,46.15,306300,PLX
2019-11-21 07:00:00,46.15,46.31,45.92,46.15,130770,PLX
2019-11-22 07:00:00,46.0,46.15,44.99,45.15,321550,PLX
2019-11-25 07:00:00,45.15,45.69,45.15,45.61,271420,PLX
2019-11-26 07:00:00,45.84,46.15,45.69,45.77,198130,PLX
2019-11-27 07:00:00,45.84,45.92,45.3,45.3,147990,PLX
2019-11-28 07:00:00,45.46,45.69,44.68,44.84,133830,PLX
2019-11-29 07:00:00,44.99,45.23,44.38,44.53,96980,PLX
2019-12-02 07:00:00,44.68,44.92,43.84,43.84,136100,PLX
2019-12-03 07:00:00,43.84,43.84,43.22,43.22,225720,PLX
2019-12-04 07:00:00,43.22,44.07,43.14,44.07,113620,PLX
2019-12-05 07:00:00,44.07,44.07,43.53,43.53,88040,PLX
2019-12-06 07:00:00,43.99,43.99,43.53,43.6,19860,PLX
2019-12-09 07:00:00,43.6,43.99,43.53,43.53,81150,PLX
2019-12-10 07:00:00,43.53,43.53,41.98,42.98,222890,PLX
2019-12-11 07:00:00,43.14,43.14,41.98,42.29,208350,PLX
2019-12-12 07:00:00,42.37,42.83,42.37,42.68,125260,PLX
2019-12-13 07:00:00,42.75,43.06,42.68,42.83,127970,PLX
2019-12-16 07:00:00,43.22,43.45,42.91,43.45,120880,PLX
2019-12-17 07:00:00,43.45,43.53,42.91,42.98,67180,PLX
2019-12-18 07:00:00,42.75,42.98,42.75,42.98,121920,PLX
2019-12-19 07:00:00,43.29,43.37,42.6,42.83,60710,PLX
2019-12-20 07:00:00,42.83,43.99,42.83,43.99,205110,PLX
2019-12-23 07:00:00,43.99,44.3,43.29,43.37,155940,PLX
2019-12-24 07:00:00,43.37,43.84,43.37,43.37,88060,PLX
2019-12-25 07:00:00,43.99,43.99,43.22,43.37,113790,PLX
2019-12-26 07:00:00,43.22,43.37,43.14,43.22,73400,PLX
2019-12-27 07:00:00,43.14,43.76,42.98,43.6,68050,PLX
2019-12-30 07:00:00,43.84,43.84,43.22,43.29,102990,PLX
2019-12-31 07:00:00,43.6,43.6,42.91,43.29,75980,PLX
2020-01-02 07:00:00,43.37,44.14,42.83,43.68,380760,PLX
2020-01-03 07:00:00,43.76,44.92,43.76,44.14,586600,PLX
2020-01-06 07:00:00,44.84,44.84,44.14,44.3,497990,PLX
2020-01-07 07:00:00,44.45,44.45,43.6,43.68,290780,PLX
2020-01-08 07:00:00,44.07,44.07,42.98,43.06,237220,PLX
2020-01-09 07:00:00,43.06,43.53,43.06,43.45,128140,PLX
2020-01-10 07:00:00,43.45,43.68,43.06,43.06,135340,PLX
2020-01-13 07:00:00,43.06,43.45,42.98,43.22,166780,PLX
2020-01-14 07:00:00,43.14,43.14,42.68,42.91,94530,PLX
2020-01-15 07:00:00,42.91,42.91,42.29,42.83,176290,PLX
2020-01-16 07:00:00,42.91,43.37,42.68,43.06,176180,PLX
2020-01-17 07:00:00,43.29,43.91,43.29,43.45,128190,PLX
