time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,93.73,93.73,87.18,87.18,46990,SAB
2019-01-03 07:00:00,87.18,89.35,81.71,86.02,98800,SAB
2019-01-04 07:00:00,86.2,86.2,82.38,85.22,8540,SAB
2019-01-07 07:00:00,85.22,86.9,84.44,85.5,12270,SAB
2019-01-08 07:00:00,85.22,85.5,83.78,85.5,11600,SAB
2019-01-09 07:00:00,85.5,86.9,83.74,85.5,25150,SAB
2019-01-10 07:00:00,84.3,85.43,83.85,84.1,28560,SAB
2019-01-11 07:00:00,84.1,84.27,82.73,84.1,38820,SAB
2019-01-14 07:00:00,84.97,84.97,83.36,84.1,45290,SAB
2019-01-15 07:00:00,83.39,84.06,83.39,83.96,23500,SAB
2019-01-16 07:00:00,83.5,84.44,83.39,83.74,30300,SAB
2019-01-17 07:00:00,83.39,84.38,82.17,82.17,41400,SAB
2019-01-18 07:00:00,82.17,83.18,82.13,82.17,14340,SAB
2019-01-21 07:00:00,83.11,83.11,82.17,82.17,4770,SAB
2019-01-22 07:00:00,82.34,82.34,81.47,81.92,14570,SAB
2019-01-23 07:00:00,81.92,82.17,81.33,81.92,16500,SAB
2019-01-24 07:00:00,82.27,82.34,81.29,81.64,35920,SAB
2019-01-25 07:00:00,81.29,81.96,80.98,81.64,26850,SAB
2019-01-28 07:00:00,81.64,82.27,80.94,81.64,24370,SAB
2019-01-29 07:00:00,82.17,82.17,80.98,81.64,18620,SAB
2019-01-30 07:00:00,81.64,82.27,81.19,81.64,36010,SAB
2019-01-31 07:00:00,81.64,81.82,81.33,81.64,21200,SAB
2019-02-01 07:00:00,81.64,82.27,80.94,81.64,80480,SAB
2019-02-11 07:00:00,81.99,82.06,81.08,81.75,42810,SAB
2019-02-12 07:00:00,83.74,83.74,81.82,83.32,11200,SAB
2019-02-13 07:00:00,83.32,83.36,82.41,82.73,118000,SAB
2019-02-14 07:00:00,83.39,83.39,82.69,83.39,123270,SAB
2019-02-15 07:00:00,83.92,84.02,83.08,83.53,48220,SAB
2019-02-18 07:00:00,83.71,84.1,83.71,84.1,19000,SAB
2019-02-19 07:00:00,83.74,84.87,83.39,84.44,25550,SAB
2019-02-20 07:00:00,83.74,85.5,83.74,85.5,39420,SAB
2019-02-21 07:00:00,85.5,86.9,85.5,86.9,24550,SAB
2019-02-22 07:00:00,86.9,87.14,86.55,86.55,14040,SAB
2019-02-25 07:00:00,86.55,86.83,86.2,86.83,31140,SAB
2019-02-26 07:00:00,86.2,86.9,86.2,86.55,26360,SAB
2019-02-27 07:00:00,86.9,86.9,86.2,86.72,7770,SAB
2019-02-28 07:00:00,85.95,86.72,84.1,84.1,31930,SAB
2019-03-01 07:00:00,82.8,86.2,82.8,84.8,31250,SAB
2019-03-04 07:00:00,84.1,86.02,83.74,84.8,44090,SAB
2019-03-05 07:00:00,85.67,85.78,84.13,85.32,10220,SAB
2019-03-06 07:00:00,84.24,85.85,84.1,85.46,22910,SAB
2019-03-07 07:00:00,84.8,85.11,84.27,84.48,25340,SAB
2019-03-08 07:00:00,85.11,85.85,84.44,85.85,29050,SAB
2019-03-11 07:00:00,85.85,86.3,84.66,85.85,20340,SAB
2019-03-12 07:00:00,85.85,88.51,85.74,88.3,42620,SAB
2019-03-13 07:00:00,87.35,90.4,82.31,89.35,54140,SAB
2019-03-14 07:00:00,88.65,90.23,88.3,88.65,26120,SAB
2019-03-15 07:00:00,89.35,89.35,86.83,88.93,40550,SAB
2019-03-18 07:00:00,87.63,88.93,85.88,85.88,75530,SAB
2019-03-19 07:00:00,85.88,87.42,85.88,86.9,37320,SAB
2019-03-20 07:00:00,85.85,87.6,85.85,87.42,17820,SAB
2019-03-21 07:00:00,87.91,87.95,86.06,87.39,17670,SAB
2019-03-22 07:00:00,85.85,87.95,85.85,87.95,30810,SAB
2019-03-25 07:00:00,87.6,87.6,85.85,87.18,5640,SAB
2019-03-26 07:00:00,87.18,87.91,86.62,87.88,41590,SAB
2019-03-27 07:00:00,87.88,87.95,86.65,87.88,12020,SAB
2019-03-28 07:00:00,87.88,87.88,86.76,87.6,8320,SAB
2019-03-29 07:00:00,88.26,88.26,86.55,87.49,122590,SAB
2019-04-01 07:00:00,87.74,87.74,86.72,87.49,23050,SAB
2019-04-02 07:00:00,87.98,87.98,86.2,86.2,21890,SAB
2019-04-03 07:00:00,87.11,87.11,85.99,86.51,1200,SAB
2019-04-04 07:00:00,87.53,87.88,86.23,87.53,38740,SAB
2019-04-05 07:00:00,86.58,87.84,86.58,86.9,13040,SAB
2019-04-08 07:00:00,87.56,87.56,86.9,87.39,2390,SAB
