time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,12.0,12.05,11.6,11.6,3858970,STB
2019-01-03 07:00:00,11.5,11.65,11.1,11.1,6284880,STB
2019-01-04 07:00:00,11.0,11.35,10.9,11.15,3828780,STB
2019-01-07 07:00:00,11.4,11.6,11.35,11.5,3702750,STB
2019-01-08 07:00:00,11.5,11.5,11.3,11.35,1572220,STB
2019-01-09 07:00:00,11.4,11.55,11.4,11.4,2633920,STB
2019-01-10 07:00:00,11.5,11.5,11.35,11.4,2073630,STB
2019-01-11 07:00:00,11.45,11.5,11.3,11.4,2169340,STB
2019-01-14 07:00:00,11.4,11.45,11.2,11.2,1929220,STB
2019-01-15 07:00:00,11.25,11.35,11.2,11.3,2159900,STB
2019-01-16 07:00:00,11.4,11.45,11.3,11.3,2682420,STB
2019-01-17 07:00:00,11.2,11.4,11.15,11.2,1740540,STB
2019-01-18 07:00:00,11.25,11.3,11.05,11.25,2620140,STB
2019-01-21 07:00:00,11.35,11.85,11.25,11.7,6690440,STB
2019-01-22 07:00:00,11.85,11.85,11.7,11.75,4051900,STB
2019-01-23 07:00:00,11.75,12.25,11.7,12.15,7824620,STB
2019-01-24 07:00:00,12.1,12.2,12.0,12.2,3754610,STB
2019-01-25 07:00:00,12.2,12.4,12.15,12.3,6422920,STB
2019-01-28 07:00:00,12.35,12.35,12.1,12.25,2703010,STB
2019-01-29 07:00:00,12.2,12.2,12.05,12.15,2870480,STB
2019-01-30 07:00:00,12.15,12.2,12.0,12.0,2487300,STB
2019-01-31 07:00:00,12.1,12.4,12.0,12.3,5064350,STB
2019-02-01 07:00:00,12.3,12.4,12.2,12.4,3351230,STB
2019-02-11 07:00:00,12.6,12.95,12.45,12.95,6861770,STB
2019-02-12 07:00:00,12.85,13.1,12.8,13.0,6462030,STB
2019-02-13 07:00:00,13.0,13.1,12.95,13.0,6887720,STB
2019-02-14 07:00:00,12.9,13.05,12.9,12.95,4821990,STB
2019-02-15 07:00:00,12.9,13.05,12.75,13.0,4507890,STB
2019-02-18 07:00:00,13.05,13.2,12.95,13.1,3713540,STB
2019-02-19 07:00:00,13.15,13.15,12.8,12.8,5247880,STB
2019-02-20 07:00:00,12.85,13.05,12.7,12.9,5454950,STB
2019-02-21 07:00:00,12.95,13.0,12.8,13.0,4116800,STB
2019-02-22 07:00:00,12.8,13.15,12.8,13.05,5726470,STB
2019-02-25 07:00:00,13.1,13.15,12.9,12.9,6896200,STB
2019-02-26 07:00:00,12.9,12.95,12.7,12.8,3764680,STB
2019-02-27 07:00:00,12.8,12.9,12.7,12.7,2409880,STB
