time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,91.5,92.49,88.45,89.21,509920,VJC
2019-01-03 07:00:00,89.21,89.59,87.69,88.6,579590,VJC
2019-01-04 07:00:00,87.69,88.68,86.39,87.69,882080,VJC
2019-01-07 07:00:00,88.68,88.75,86.24,88.45,637590,VJC
2019-01-08 07:00:00,88.68,88.68,87.31,87.69,226650,VJC
2019-01-09 07:00:00,87.69,88.45,87.38,87.69,554850,VJC
2019-01-10 07:00:00,88.07,88.07,87.53,87.69,381340,VJC
2019-01-11 07:00:00,87.69,90.28,87.69,89.21,799230,VJC
2019-01-14 07:00:00,89.52,90.66,89.06,89.59,487330,VJC
2019-01-15 07:00:00,89.67,89.9,88.68,89.36,514390,VJC
2019-01-16 07:00:00,89.21,89.44,87.69,88.45,638280,VJC
2019-01-17 07:00:00,88.45,88.45,87.31,88.07,614570,VJC
2019-01-18 07:00:00,88.22,88.3,87.15,87.84,489080,VJC
2019-01-21 07:00:00,87.31,88.14,87.31,87.84,294150,VJC
2019-01-22 07:00:00,88.07,88.3,87.53,87.69,351870,VJC
2019-01-23 07:00:00,87.69,88.3,87.61,88.07,398030,VJC
2019-01-24 07:00:00,88.45,90.28,88.45,89.97,721190,VJC
2019-01-25 07:00:00,90.28,93.41,90.28,93.41,778640,VJC
2019-01-28 07:00:00,93.63,94.24,92.64,93.41,305350,VJC
2019-01-29 07:00:00,93.41,93.71,92.03,92.8,280160,VJC
2019-01-30 07:00:00,92.8,94.4,92.8,93.94,646990,VJC
2019-01-31 07:00:00,93.94,94.32,93.18,94.17,455960,VJC
2019-02-01 07:00:00,94.17,95.31,94.09,95.31,797560,VJC
2019-02-11 07:00:00,95.62,96.15,95.31,96.0,359160,VJC
2019-02-12 07:00:00,96.07,96.53,95.24,96.0,721400,VJC
2019-02-13 07:00:00,95.46,95.77,94.7,94.93,643080,VJC
2019-02-14 07:00:00,95.01,95.01,93.79,94.09,473820,VJC
