time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,69.51,70.94,69.22,70.94,403570,VNM
2019-01-03 07:00:00,70.94,70.94,69.57,70.31,449730,VNM
2019-01-04 07:00:00,70.08,71.51,69.22,71.51,498470,VNM
2019-01-07 07:00:00,73.06,74.95,71.8,74.95,897430,VNM
2019-01-08 07:00:00,75.18,75.18,73.63,74.37,448350,VNM
2019-01-09 07:00:00,74.37,75.81,73.8,75.46,636050,VNM
2019-01-10 07:00:00,75.46,75.52,74.89,75.35,301700,VNM
2019-01-11 07:00:00,75.35,76.66,75.35,76.66,954110,VNM
2019-01-14 07:00:00,76.09,77.24,76.03,77.24,611420,VNM
2019-01-15 07:00:00,77.24,77.35,76.66,77.18,598510,VNM
2019-01-16 07:00:00,76.66,77.06,75.52,76.09,562220,VNM
2019-01-17 07:00:00,76.09,76.32,75.29,75.63,514870,VNM
2019-01-18 07:00:00,76.09,77.18,76.09,76.66,545600,VNM
2019-01-21 07:00:00,76.72,76.72,75.69,76.55,279380,VNM
2019-01-22 07:00:00,76.78,77.24,76.09,76.66,399040,VNM
2019-01-23 07:00:00,77.18,77.24,76.55,76.95,1028650,VNM
2019-01-24 07:00:00,77.24,77.52,76.83,77.52,1077600,VNM
2019-01-25 07:00:00,77.81,77.98,77.58,77.75,813810,VNM
2019-01-28 07:00:00,78.09,78.15,77.75,78.09,487650,VNM
2019-01-29 07:00:00,78.38,78.38,77.52,78.09,371010,VNM
2019-01-30 07:00:00,78.15,78.15,77.52,77.52,279280,VNM
2019-01-31 07:00:00,78.09,78.09,76.38,77.24,812290,VNM
2019-02-01 07:00:00,77.69,77.69,76.09,77.24,731430,VNM
2019-02-11 07:00:00,77.24,78.89,77.18,78.38,1357210,VNM
2019-02-12 07:00:00,78.95,79.07,78.38,78.95,957440,VNM
2019-02-13 07:00:00,78.95,79.18,77.92,79.12,764480,VNM
2019-02-14 07:00:00,79.12,80.27,78.95,79.75,1341090,VNM
2019-02-15 07:00:00,80.1,80.27,79.81,80.21,910160,VNM
2019-02-18 07:00:00,80.32,81.53,80.27,81.24,1082650,VNM
2019-02-19 07:00:00,81.81,81.98,81.47,81.58,1974200,VNM
2019-02-20 07:00:00,81.81,82.1,81.7,81.81,983460,VNM
2019-02-21 07:00:00,82.1,85.3,81.81,84.96,1859260,VNM
2019-02-22 07:00:00,85.24,85.53,84.84,85.19,814320,VNM
2019-02-25 07:00:00,85.24,87.3,85.07,86.73,1211040,VNM
2019-02-26 07:00:00,85.82,86.96,82.96,83.58,806810,VNM
2019-02-27 07:00:00,83.7,85.82,83.7,84.5,484610,VNM
2019-02-28 07:00:00,84.96,84.96,80.72,80.72,976450,VNM
2019-03-01 07:00:00,82.33,82.33,80.9,80.9,868720,VNM
2019-03-04 07:00:00,80.95,82.33,80.95,81.76,876760,VNM
2019-03-05 07:00:00,81.53,81.7,81.01,81.24,532510,VNM
2019-03-06 07:00:00,81.24,81.7,79.24,80.67,711250,VNM
2019-03-07 07:00:00,80.84,81.24,79.81,79.92,708000,VNM
2019-03-08 07:00:00,79.52,79.81,77.58,78.38,980860,VNM
2019-03-11 07:00:00,78.09,79.47,78.09,78.72,423100,VNM
2019-03-12 07:00:00,78.95,79.81,78.95,79.52,560360,VNM
2019-03-13 07:00:00,79.81,80.15,79.07,79.12,616010,VNM
2019-03-14 07:00:00,79.52,79.52,78.21,78.49,920860,VNM
