time,open,high,low,close,volume,ticker
2019-01-02 07:00:00,6.39,6.39,6.21,6.21,1037420,VPB
2019-01-03 07:00:00,6.21,6.28,5.99,6.08,3018830,VPB
2019-01-04 07:00:00,6.05,6.13,5.87,6.07,1928210,VPB
2019-01-07 07:00:00,6.18,6.28,6.13,6.16,1645360,VPB
2019-01-08 07:00:00,6.13,6.18,6.07,6.13,834840,VPB
2019-01-09 07:00:00,6.15,6.26,6.13,6.13,2027690,VPB
2019-01-10 07:00:00,6.15,6.23,6.13,6.15,988700,VPB
2019-01-11 07:00:00,6.18,6.21,6.1,6.11,1158060,VPB
2019-01-14 07:00:00,6.11,6.15,6.03,6.1,1149670,VPB
2019-01-15 07:00:00,6.1,6.2,6.08,6.16,1168800,VPB
2019-01-16 07:00:00,6.18,6.39,6.18,6.36,3962960,VPB
2019-01-17 07:00:00,6.34,6.37,6.08,6.08,1419860,VPB
2019-01-18 07:00:00,6.18,6.24,6.13,6.16,1672450,VPB
2019-01-21 07:00:00,6.18,6.47,6.18,6.4,2531400,VPB
2019-01-22 07:00:00,6.4,6.52,6.29,6.29,2282970,VPB
2019-01-23 07:00:00,6.26,6.39,6.26,6.37,1413360,VPB
2019-01-24 07:00:00,6.37,6.47,6.31,6.47,2058500,VPB
2019-01-25 07:00:00,6.44,6.5,6.37,6.42,1353240,VPB
2019-01-28 07:00:00,6.42,6.45,6.24,6.31,1415780,VPB
2019-01-29 07:00:00,6.31,6.4,6.23,6.4,1602910,VPB
2019-01-30 07:00:00,6.42,6.45,6.36,6.37,1292190,VPB
2019-01-31 07:00:00,6.42,6.52,6.42,6.47,2385210,VPB
2019-02-01 07:00:00,6.47,6.5,6.34,6.42,3212780,VPB
2019-02-11 07:00:00,6.48,6.79,6.45,6.79,3188300,VPB
2019-02-12 07:00:00,6.85,6.9,6.77,6.84,3980620,VPB
2019-02-13 07:00:00,6.85,6.95,6.84,6.88,3440610,VPB
2019-02-14 07:00:00,6.88,6.9,6.79,6.8,2299990,VPB
2019-02-15 07:00:00,6.79,6.88,6.69,6.8,2818810,VPB
2019-02-18 07:00:00,6.85,6.93,6.84,6.88,1634010,VPB
2019-02-19 07:00:00,6.95,6.98,6.79,6.79,2998200,VPB
2019-02-20 07:00:00,6.77,6.85,6.69,6.77,2173510,VPB
2019-02-21 07:00:00,6.82,6.85,6.69,6.85,2551090,VPB
2019-02-22 07:00:00,6.77,6.93,6.76,6.84,2761050,VPB
2019-02-25 07:00:00,6.95,6.98,6.87,6.88,2504220,VPB
2019-02-26 07:00:00,6.85,6.93,6.76,6.82,2884870,VPB
2019-02-27 07:00:00,6.82,6.84,6.76,6.79,1606160,VPB
