item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,6206.54,4804.77,6441.47,6206.54,CTG
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,31635.24,28674.56,33452.79,31635.24,CTG
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,8.18,8.63,5.55,8.18,CTG
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,1.61,1.45,1.07,1.61,CTG
Tỷ suất cổ tức,dividend_yield,0.0,0.0,1.26,0.0,CTG
Beta,beta,1.18,1.29,1.15,1.18,CTG
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,5.06,3.58,6.37,5.1,CTG
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.31,0.22,0.4,0.31,CTG
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.36,1.34,1.42,1.36,CTG
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,0.8,0.77,0.81,0.8,CTG
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,0.63,0.64,0.66,0.63,CTG
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,26.76,26.98,39.11,26.76,CTG
ROE bình quân 4 quý gần nhất,roe_trailling,21.05,17.89,20.88,21.05,CTG
ROA bình quân 4 quý gần nhất,roa_trailling,1.3,1.12,1.3,1.3,CTG
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,61.99,9.87,13.6,61.99,CTG
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,61.67,9.28,12.88,61.67,CTG
Tăng trưởng tổng tài sản,total_assets,23.85,18.88,16.03,23.85,CTG
Tăng trưởng vốn chủ sở hữu,owners_equity,20.49,17.92,19.81,20.49,CTG
Tăng trưởng vốn điều lệ,charter_capital,0.0,0.0,44.64,0.0,CTG
Tăng trưởng dư nợ cho vay,deposits_from_customers,23.99,18.89,15.7,23.99,CTG
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,17.05,13.56,11.68,17.05,CTG
Tăng trưởng thu nhập lãi thuần,net_interest_income,10.26,1.98,10.1,10.26,CTG
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,14.65,4.38,-9.2,14.65,CTG
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,-11.89,-9.46,36.88,-11.89,CTG
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,4.15,4.73,-3.04,4.15,CTG
Tăng trưởng tổng chi phí HĐKD,operating_expenses,-1.2,14.81,39.34,-1.2,CTG
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,78.46,79.24,78.74,78.46,CTG
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,72.08,72.9,71.98,72.08,CTG
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.07,0.07,7.1,6.7,CTG
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,6.15,6.23,6.49,6.15,CTG
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.02,-0.02,-1.78,-1.96,CTG
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,98.62,98.63,98.15,98.62,CTG
