item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3449.28,2611.57,3652.8,3449.28,DCM
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,19936.0,19956.0,20288.0,19936.0,DCM
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,10.77,12.66,8.95,10.77,DCM
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,1.86,1.66,1.61,1.86,DCM
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,6.58,5.14,3.82,6.58,DCM
Tỷ suất cổ tức,dividend_yield,0.05,0.06,6.12,5.38,DCM
Beta,beta,1.26,1.31,1.03,1.26,DCM
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,49.69,36.95,35.32,49.69,DCM
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,27.15,31.78,20.07,27.15,DCM
Tỷ suất lợi nhuận gộp biên,gross_margin,21.98,25.98,27.65,21.98,DCM
Tỷ lệ lãi EBIT,ebit_margin,13.3,13.78,10.03,13.3,DCM
Tỷ lệ lãi EBITDA,ebitda_net_revenue,16.24,16.02,12.12,16.24,DCM
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,10.98,12.1,8.6,10.98,DCM
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,3.15,3.97,3.67,3.16,DCM
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,3.52,4.19,3.93,3.52,DCM
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,1.89,2.52,2.28,1.89,DCM
ROE bình quân 4 quý gần nhất,roe_trailling,17.65,13.75,18.42,17.65,DCM
ROA bình quân 4 quý gần nhất,roa_trailling,10.87,8.54,11.18,10.87,DCM
Tăng trưởng  doanh thu thuần,net_revenue,13.43,24.15,7.47,13.43,DCM
Tăng trưởng  lợi nhuận gộp,gross_profit,75.24,24.74,84.24,75.24,DCM
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,187.79,18.6,36.38,187.79,DCM
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,172.24,18.91,38.17,172.24,DCM
Tăng trưởng tổng tài sản,total_assets,7.04,7.27,12.75,7.04,DCM
Tăng trưởng nợ dài hạn,long_term_liabilities,-5.96,9.66,11.69,-5.96,DCM
Tăng trưởng nợ phải trả,liabilities,7.71,15.95,24.81,7.71,DCM
Tăng trưởng vốn chủ sở hữu,owners_equity,6.67,2.66,6.15,6.67,DCM
Tăng trưởng vốn điều lệ,charter_capital,0.0,0.0,0.0,0.0,DCM
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.38,0.37,0.6,0.38,DCM
Tỷ số thanh toán nhanh,quick_ratio,1.76,2.0,1.61,1.76,DCM
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)",quick_ratio_except_inventories_short_term_receivables_reference,1.36,1.65,1.28,1.36,DCM
Tỷ số thanh toán hiện hành (ngắn hạn),short_term_ratio,2.67,2.59,2.42,2.67,DCM
Khả năng thanh toán lãi vay,interest_coverage,20.94,30.31,25.34,20.94,DCM
Vòng quay phải thu khách hàng,receivables_turnover,6.32,5.04,9.43,6.32,DCM
Thời gian thu tiền khách hàng bình quân,days_of_sales_outstanding,57.78,72.35,38.69,57.78,DCM
Vòng quay hàng tồn kho,inventory_turnover,0.63,0.81,0.7,0.63,DCM
Thời gian tồn kho bình quân,days_of_inventory_on_hand,581.3,448.59,523.68,581.3,DCM
Vòng quay phải trả nhà cung cấp,payables_turnover,1.75,1.59,2.24,1.75,DCM
Thời gian trả tiền khách hàng bình quân,number_of_days_of_payables,208.22,229.12,163.29,208.22,DCM
