item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,453.02,367.97,249.97,453.02,DXG
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,18601.0,19616.0,18754.0,18601.0,DXG
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,45.69,42.94,68.41,45.69,DXG
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,1.11,0.81,0.91,1.11,DXG
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,19.74,14.88,13.24,19.74,DXG
Tỷ suất cổ tức,dividend_yield,0.0,0.0,0.0,0.0,DXG
Beta,beta,1.38,1.64,1.38,1.38,DXG
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,117.31,73.32,176.7,117.31,DXG
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,112.44,69.79,150.57,112.44,DXG
Tỷ suất lợi nhuận gộp biên,gross_margin,56.04,55.17,58.45,56.04,DXG
Tỷ lệ lãi EBIT,ebit_margin,23.91,30.91,10.66,23.91,DXG
Tỷ lệ lãi EBITDA,ebitda_net_revenue,24.57,32.48,11.23,24.57,DXG
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,15.31,8.49,4.41,15.31,DXG
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,0.49,0.3,0.05,0.75,DXG
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,1.1,1.45,0.65,1.1,DXG
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.27,0.15,0.02,0.27,DXG
ROE bình quân 4 quý gần nhất,roe_trailling,3.22,2.44,1.8,3.22,DXG
ROA bình quân 4 quý gần nhất,roa_trailling,1.17,0.89,0.66,1.17,DXG
Tăng trưởng  doanh thu thuần,net_revenue,5.45,-13.13,-6.04,5.45,DXG
Tăng trưởng  lợi nhuận gộp,gross_profit,18.54,8.0,9.28,18.54,DXG
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,56.4,16.3,-70.12,56.4,DXG
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,202.26,54.58,-96.1,202.26,DXG
Tăng trưởng tổng tài sản,total_assets,22.04,13.53,30.77,22.04,DXG
Tăng trưởng nợ dài hạn,long_term_liabilities,48.02,20.13,-23.01,48.02,DXG
Tăng trưởng nợ phải trả,liabilities,23.01,17.04,23.73,23.01,DXG
Tăng trưởng vốn chủ sở hữu,owners_equity,21.22,10.33,37.22,21.22,DXG
