item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,5162.67,4586.91,4832.77,5162.67,GAS
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,27509.0,27459.0,28038.0,27509.0,GAS
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,11.7,14.56,14.98,11.7,GAS
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,2.2,2.43,2.58,2.2,GAS
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,4.08,6.09,4.0,4.08,GAS
Tỷ suất cổ tức,dividend_yield,0.03,0.09,2.9,3.48,GAS
Beta,beta,0.71,0.6,0.61,0.71,GAS
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,42.59,43.92,95.79,42.59,GAS
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,22.8,36.29,39.19,22.8,GAS
Tỷ suất lợi nhuận gộp biên,gross_margin,11.49,15.93,8.68,11.49,GAS
Tỷ lệ lãi EBIT,ebit_margin,9.13,13.57,4.11,9.13,GAS
Tỷ lệ lãi EBITDA,ebitda_net_revenue,11.13,16.42,5.17,11.13,GAS
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,7.32,10.76,3.18,7.32,GAS
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,3.77,4.38,2.07,3.85,GAS
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,4.46,5.07,2.48,4.46,GAS
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,2.79,3.36,1.45,2.79,GAS
ROE bình quân 4 quý gần nhất,roe_trailling,18.93,16.96,17.45,18.93,GAS
ROA bình quân 4 quý gần nhất,roa_trailling,13.97,12.13,12.75,13.97,GAS
Tăng trưởng  doanh thu thuần,net_revenue,41.34,10.12,75.12,41.34,GAS
Tăng trưởng  lợi nhuận gộp,gross_profit,-1.94,10.79,-6.22,-1.94,GAS
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,0.06,8.15,-31.87,0.06,GAS
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,1.08,9.75,-33.41,1.08,GAS
Tăng trưởng tổng tài sản,total_assets,2.19,-10.63,14.21,2.19,GAS
Tăng trưởng nợ dài hạn,long_term_liabilities,-11.12,-21.81,-6.97,-11.12,GAS
Tăng trưởng nợ phải trả,liabilities,-14.63,-25.89,27.34,-14.63,GAS
Tăng trưởng vốn chủ sở hữu,owners_equity,11.27,-5.26,9.88,11.27,GAS
Tăng trưởng vốn điều lệ,charter_capital,3.0,2.0,3.0,3.0,GAS
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.53,0.69,0.33,0.53,GAS
Tỷ số thanh toán nhanh,quick_ratio,3.07,4.61,3.19,3.07,GAS
