item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3488.52,3762.25,3933.88,3488.52,GMD
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,33766.0,33559.0,34842.0,33766.0,GMD
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,19.46,15.28,15.51,19.46,GMD
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,2.01,1.71,1.75,2.01,GMD
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,18.28,18.92,16.12,18.28,GMD
Tỷ suất cổ tức,dividend_yield,0.03,0.04,3.28,2.95,GMD
Beta,beta,1.02,0.9,0.95,1.02,GMD
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,56.73,39.04,37.17,56.73,GMD
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,33.95,33.7,24.89,33.95,GMD
Tỷ suất lợi nhuận gộp biên,gross_margin,42.69,43.98,47.42,42.69,GMD
Tỷ lệ lãi EBIT,ebit_margin,34.3,47.8,47.59,34.3,GMD
Tỷ lệ lãi EBITDA,ebitda_net_revenue,39.73,55.38,54.58,39.73,GMD
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,27.71,41.32,40.88,27.71,GMD
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,2.26,2.89,4.01,2.55,GMD
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,3.28,3.82,4.5,3.28,GMD
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,1.64,2.23,2.63,1.64,GMD
ROE bình quân 4 quý gần nhất,roe_trailling,11.05,11.7,13.11,11.05,GMD
ROA bình quân 4 quý gần nhất,roa_trailling,7.38,7.82,8.66,7.38,GMD
Tăng trưởng  doanh thu thuần,net_revenue,23.45,26.99,14.35,23.45,GMD
Tăng trưởng  lợi nhuận gộp,gross_profit,14.61,27.39,21.71,14.61,GMD
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,2.16,-17.64,109.04,2.16,GMD
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,-5.92,-27.96,118.83,-5.92,GMD
Tăng trưởng tổng tài sản,total_assets,34.5,26.16,9.96,34.5,GMD
Tăng trưởng nợ dài hạn,long_term_liabilities,35.21,-0.28,20.79,35.21,GMD
Tăng trưởng nợ phải trả,liabilities,33.76,1.04,16.19,33.76,GMD
Tăng trưởng vốn chủ sở hữu,owners_equity,34.76,35.71,8.05,34.76,GMD
Tăng trưởng vốn điều lệ,charter_capital,35.33,37.36,3.02,35.33,GMD
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.86,1.85,0.69,0.86,GMD
