item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,9084.66,6987.92,8473.66,9084.66,HAH
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,29816.0,34642.0,31948.0,29816.0,HAH
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,5.92,7.56,6.93,5.92,HAH
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,1.8,1.52,1.84,1.8,HAH
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,6.74,5.87,7.63,6.74,HAH
Tỷ suất cổ tức,dividend_yield,0.02,0.0,1.7,1.86,HAH
Beta,beta,0.67,1.22,0.43,0.67,HAH
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,23.94,24.23,26.12,23.94,HAH
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,10.6,17.54,11.78,10.6,HAH
Tỷ suất lợi nhuận gộp biên,gross_margin,36.8,32.92,39.81,36.8,HAH
Tỷ lệ lãi EBIT,ebit_margin,34.54,31.38,36.72,34.54,HAH
Tỷ lệ lãi EBITDA,ebitda_net_revenue,46.04,43.35,46.83,46.04,HAH
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,26.19,23.4,27.7,26.19,HAH
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,6.18,5.51,7.06,7.39,HAH
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,6.91,5.82,6.82,6.91,HAH
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,3.71,3.08,3.62,3.71,HAH
ROE bình quân 4 quý gần nhất,roe_trailling,30.98,25.75,29.33,30.98,HAH
ROA bình quân 4 quý gần nhất,roa_trailling,14.96,11.89,14.65,14.96,HAH
Tăng trưởng  doanh thu thuần,net_revenue,19.42,66.05,7.35,19.42,HAH
Tăng trưởng  lợi nhuận gộp,gross_profit,26.4,262.22,-0.15,26.4,HAH
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,35.39,409.94,5.87,35.39,HAH
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,52.6,293.69,9.79,52.6,HAH
Tăng trưởng tổng tài sản,total_assets,24.4,35.63,19.54,24.4,HAH
Tăng trưởng nợ dài hạn,long_term_liabilities,-12.26,22.06,-14.37,-12.26,HAH
Tăng trưởng nợ phải trả,liabilities,6.96,32.72,0.03,6.96,HAH
Tăng trưởng vốn chủ sở hữu,owners_equity,38.94,37.88,35.83,38.94,HAH
Tăng trưởng vốn điều lệ,charter_capital,39.16,23.1,39.16,39.16,HAH
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.58,0.8,0.35,0.58,HAH
