item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,2157.16,1983.64,2203.18,2157.16,HPG
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,16613.0,18448.0,17096.0,16613.0,HPG
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,13.05,13.49,11.98,13.05,HPG
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,1.69,1.45,1.54,1.69,HPG
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,5.93,4.55,4.39,5.93,HPG
Tỷ suất cổ tức,dividend_yield,0.0,0.0,0.0,0.0,HPG
Beta,beta,1.14,1.21,1.07,1.14,HPG
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,56.22,56.64,49.44,56.22,HPG
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,25.98,40.36,20.84,25.98,HPG
Tỷ suất lợi nhuận gộp biên,gross_margin,16.72,14.42,13.85,16.72,HPG
Tỷ lệ lãi EBIT,ebit_margin,14.94,11.87,12.64,14.94,HPG
Tỷ lệ lãi EBITDA,ebitda_net_revenue,20.57,16.66,18.53,20.57,HPG
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,11.02,8.9,8.42,11.02,HPG
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,3.19,2.88,3.03,3.23,HPG
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,3.41,2.97,3.57,3.41,HPG
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,1.63,1.48,1.53,1.63,HPG
ROE bình quân 4 quý gần nhất,roe_trailling,12.02,11.05,12.51,12.02,HPG
ROA bình quân 4 quý gần nhất,roa_trailling,6.11,5.74,6.34,6.11,HPG
Tăng trưởng  doanh thu thuần,net_revenue,7.22,21.94,33.88,7.22,HPG
