item,item_id,2026-Q3,2026-Q2,2025-Q4,2026-Q1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,739.08,840.57,1008.57,1174.63,HSG
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,18126.0,18486.0,18320.0,18254.0,HSG
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,25.71,13.92,14.72,13.41,HSG
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,1.05,0.82,0.81,0.86,HSG
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,1.24,1.05,1.1,1.17,HSG
Tỷ suất cổ tức,dividend_yield,0.03,0.0,3.16,2.99,HSG
Beta,beta,1.35,0.88,1.03,1.25,HSG
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,46.29,65.75,101.58,90.85,HSG
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,0.0,0.0,0.0,0.0,HSG
Tỷ suất lợi nhuận gộp biên,gross_margin,12.75,11.73,11.2,12.22,HSG
Tỷ lệ lãi EBIT,ebit_margin,3.5,2.95,1.77,1.89,HSG
Tỷ lệ lãi EBITDA,ebitda_net_revenue,4.93,5.03,4.52,3.56,HSG
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,2.88,1.32,0.74,1.01,HSG
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,2.43,1.04,0.55,0.75,HSG
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,2.95,2.31,1.31,1.4,HSG
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,1.49,0.54,0.31,0.44,HSG
ROE bình quân 4 quý gần nhất,roe_trailling,4.12,4.76,5.54,6.49,HSG
ROA bình quân 4 quý gần nhất,roa_trailling,2.41,2.62,3.27,3.87,HSG
Tăng trưởng  doanh thu thuần,net_revenue,-12.28,6.1,-17.99,-17.33,HSG
Tăng trưởng  lợi nhuận gộp,gross_profit,-9.28,-2.22,-22.14,20.31,HSG
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,1.07,-31.2,-48.99,0.0,HSG
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,0.14,-42.21,-62.3,0.0,HSG
Tăng trưởng tổng tài sản,total_assets,-2.96,32.35,6.35,-3.13,HSG
Tăng trưởng nợ dài hạn,long_term_liabilities,4.23,4.38,4.36,-0.74,HSG
Tăng trưởng nợ phải trả,liabilities,-8.48,88.33,11.54,-11.96,HSG
Tăng trưởng vốn chủ sở hữu,owners_equity,1.33,1.49,2.3,3.87,HSG
Tăng trưởng vốn điều lệ,charter_capital,0.81,0.0,0.0,0.81,HSG
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.09,0.08,0.09,0.06,HSG
Tỷ số thanh toán nhanh,quick_ratio,0.56,0.41,0.42,0.46,HSG
