item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,26.55,107.96,85.19,26.55,ITA
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,11436.0,11396.0,11476.0,11436.0,ITA
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,86.62,21.3,27.0,86.62,ITA
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,0.2,0.2,0.2,0.2,ITA
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,25.1,32.08,27.7,25.1,ITA
Tỷ suất cổ tức,dividend_yield,0.0,0.0,0.0,0.0,ITA
Beta,beta,0.04,0.06,0.03,0.04,ITA
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,82.13,177.61,53.14,82.13,ITA
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,59.57,108.62,52.39,59.57,ITA
Tỷ suất lợi nhuận gộp biên,gross_margin,63.81,48.01,46.6,63.81,ITA
Tỷ lệ lãi EBIT,ebit_margin,36.66,21.55,62.51,36.66,ITA
Tỷ lệ lãi EBITDA,ebitda_net_revenue,39.8,35.23,74.57,39.8,ITA
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,24.95,11.45,49.14,24.95,ITA
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,0.2,0.07,0.36,0.2,ITA
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,0.28,0.13,0.43,0.28,ITA
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.17,0.06,0.3,0.17,ITA
ROE bình quân 4 quý gần nhất,roe_trailling,0.24,0.98,0.77,0.24,ITA
ROA bình quân 4 quý gần nhất,roa_trailling,0.2,0.81,0.63,0.2,ITA
Tăng trưởng  doanh thu thuần,net_revenue,-42.36,-5.72,-7.77,-42.36,ITA
Tăng trưởng  lợi nhuận gộp,gross_profit,-42.09,-11.27,-19.27,-42.09,ITA
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,-61.74,-40.97,0.0,-61.74,ITA
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,-68.91,-63.27,0.0,-68.91,ITA
Tăng trưởng tổng tài sản,total_assets,3.41,4.26,1.14,3.41,ITA
