item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,4050.73,4516.14,3980.45,4050.73,MBB
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,16522.75,20267.29,17631.6,16522.75,MBB
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,6.47,5.34,6.36,6.47,MBB
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,1.59,1.19,1.43,1.59,MBB
Tỷ suất cổ tức,dividend_yield,0.01,0.02,1.19,1.15,MBB
Beta,beta,1.2,1.11,1.17,1.2,MBB
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,4.27,5.46,6.65,4.46,MBB
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.43,0.57,0.6,0.43,MBB
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,1.72,1.75,1.67,1.72,MBB
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,0.83,0.81,0.91,0.83,MBB
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,1.0,1.05,0.93,1.0,MBB
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,29.14,25.78,31.9,29.14,MBB
ROE bình quân 4 quý gần nhất,roe_trailling,20.22,22.6,21.22,20.22,MBB
ROA bình quân 4 quý gần nhất,roa_trailling,1.98,2.29,1.99,1.98,MBB
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,-0.79,44.71,37.51,-0.79,MBB
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,-3.78,44.9,39.44,-3.78,MBB
Tăng trưởng tổng tài sản,total_assets,29.13,28.45,43.14,29.13,MBB
Tăng trưởng vốn chủ sở hữu,owners_equity,20.97,27.14,21.32,20.97,MBB
Tăng trưởng vốn điều lệ,charter_capital,52.35,17.03,51.8,52.35,MBB
Tăng trưởng dư nợ cho vay,deposits_from_customers,32.69,29.61,39.57,32.69,MBB
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,25.57,29.31,29.02,25.57,MBB
Tăng trưởng thu nhập lãi thuần,net_interest_income,24.71,29.02,30.63,24.71,MBB
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,9.97,-4.87,-4.7,9.97,MBB
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,49.38,30.7,77.95,49.38,MBB
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,23.51,33.76,17.51,23.51,MBB
Tăng trưởng tổng chi phí HĐKD,operating_expenses,21.02,12.4,18.73,21.02,MBB
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,81.92,81.07,77.2,81.92,MBB
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,70.11,68.94,67.09,70.11,MBB
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.12,0.13,10.11,11.7,MBB
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,10.02,10.69,8.79,10.02,MBB
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.02,-0.01,-1.23,-1.5,MBB
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,97.4,96.65,96.63,97.4,MBB
