item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3955.55,2986.11,4774.77,3955.55,MWG
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,21507.0,20301.0,22442.0,21507.0,MWG
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,19.64,19.76,18.51,19.64,MWG
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,3.61,2.91,3.94,3.61,MWG
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,2.88,2.39,3.05,2.88,MWG
Tỷ suất cổ tức,dividend_yield,0.01,0.01,1.13,1.29,MWG
Beta,beta,1.24,1.37,1.21,1.24,MWG
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,53.48,48.69,53.62,53.48,MWG
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,0.0,0.0,0.0,0.0,MWG
Tỷ suất lợi nhuận gộp biên,gross_margin,18.76,19.93,18.78,18.76,MWG
Tỷ lệ lãi EBIT,ebit_margin,6.42,6.25,6.73,6.42,MWG
Tỷ lệ lãi EBITDA,ebitda_net_revenue,7.4,7.66,6.76,7.4,MWG
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,4.48,4.28,4.87,4.48,MWG
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,5.73,5.35,6.47,5.8,MWG
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,8.28,7.81,8.88,8.28,MWG
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,2.2,2.16,2.52,2.2,MWG
ROE bình quân 4 quý gần nhất,roe_trailling,19.68,15.86,22.89,19.68,MWG
ROA bình quân 4 quý gần nhất,roa_trailling,7.64,6.33,8.85,7.64,MWG
Tăng trưởng  doanh thu thuần,net_revenue,16.71,14.76,23.94,16.71,MWG
Tăng trưởng  lợi nhuận gộp,gross_profit,8.51,7.27,22.15,8.51,MWG
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,103.4,60.39,141.55,103.4,MWG
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,121.32,71.31,144.59,121.32,MWG
Tăng trưởng tổng tài sản,total_assets,20.01,14.38,19.57,20.01,MWG
Tăng trưởng nợ dài hạn,long_term_liabilities,0.0,0.0,0.0,0.0,MWG
Tăng trưởng nợ phải trả,liabilities,22.38,14.66,20.62,22.38,MWG
Tăng trưởng vốn chủ sở hữu,owners_equity,16.58,13.96,17.98,16.58,MWG
Tăng trưởng vốn điều lệ,charter_capital,1.19,-0.08,0.51,1.19,MWG
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.11,0.06,0.1,0.11,MWG
Tỷ số thanh toán nhanh,quick_ratio,1.05,1.06,0.98,1.05,MWG
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)",quick_ratio_except_inventories_short_term_receivables_reference,0.8,0.81,0.77,0.8,MWG
Tỷ số thanh toán hiện hành (ngắn hạn),short_term_ratio,1.55,1.59,1.52,1.55,MWG
Khả năng thanh toán lãi vay,interest_coverage,6.6,6.99,7.5,6.6,MWG
Vòng quay phải thu khách hàng,receivables_turnover,155.91,150.65,186.33,155.91,MWG
Thời gian thu tiền khách hàng bình quân,days_of_sales_outstanding,2.34,2.42,1.96,2.34,MWG
Vòng quay hàng tồn kho,inventory_turnover,1.35,1.28,1.36,1.35,MWG
Thời gian tồn kho bình quân,days_of_inventory_on_hand,269.42,284.17,269.36,269.42,MWG
Vòng quay phải trả nhà cung cấp,payables_turnover,2.72,2.83,2.7,2.72,MWG
Thời gian trả tiền khách hàng bình quân,number_of_days_of_payables,134.15,128.96,135.3,134.15,MWG
Vòng quay tài sản cố định (Hiệu suất sử dụng tài sản cố định),fixed_asset_turnover,14.27,10.6,16.47,14.27,MWG
Vòng quay tổng tài sản (Hiệu suất sử dụng toàn bộ tài sản),total_asset_turnover,0.49,0.51,0.52,0.49,MWG
Vòng quay vốn chủ sở hữu,equity_turnover,1.29,1.25,1.32,1.29,MWG
Tỷ số Nợ ngắn hạn trên Tổng nợ phải trả,short_term_liabilities_to_total_liabilities,100.0,100.0,100.0,100.0,MWG
Tỷ số Nợ vay trên Tổng tài sản,debt_to_assets,35.75,36.08,35.65,35.75,MWG
Tỷ số Nợ trên Tổng tài sản,liabilities_to_assets,60.4,59.18,60.48,60.4,MWG
Tỷ số Vốn chủ sở hữu trên Tổng tài sản,equity_to_assets,39.6,40.82,39.52,39.6,MWG
Tỷ số Nợ ngắn hạn trên Vốn chủ sở hữu,short_term_liabilities_to_equity,152.5,144.97,153.05,152.5,MWG
Tỷ số Nợ vay trên Vốn chủ sở hữu,debt_to_equity,90.28,88.38,90.21,90.28,MWG
Tỷ số Nợ trên Vốn chủ sở hữu,liabilities_to_equity,152.5,144.97,153.05,152.5,MWG
Tỷ số dòng tiền HĐKD trên doanh thu thuần,accrual_ratio_cf,0.0,6.89,0.0,0.0,MWG
Khả năng chi trả nợ ngắn hạn từ dòng tiền HĐKD,cash_to_income,0.0,5.79,0.0,0.0,MWG
Khả năng chi trả nợ ngắn hạn từ lưu chuyển tiền thuần trong kỳ,net_cash_flows_short_term_liabilities,0.0,-5.21,0.0,0.0,MWG
Tỷ lệ dồn tích (Phương pháp Cân đối kế toán),accrual_ratio_balance_sheet_method,0.0,0.0,0.0,0.0,MWG
Tỷ lệ dồn tích (Phương pháp Dòng tiền),accrual_ratio_cash_flow_method,0.0,0.0,0.0,0.0,MWG
Dòng tiền từ HĐKD trên Tổng tài sản,cash_return_to_assets,0.0,3.43,0.0,0.0,MWG
Dòng tiền từ HĐKD trên Vốn chủ sở hữu,cash_return_on_equity,0.0,8.39,0.0,0.0,MWG
Dòng tiền từ HĐKD trên Lợi nhuận thuần từ HĐKD,cash_to_income_2,0.0,128.31,0.0,0.0,MWG
Khả năng thanh toán nợ từ dòng tiền HĐKD,debt_coverage,0.0,5.79,0.0,0.0,MWG
Dòng tiền từ HĐKD trên mỗi cổ phần (CPS),cash_flow_per_share_cps,0.0,1703.42,0.0,0.0,MWG
