item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,2025.29,1530.2,2056.91,2025.29,PLX
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,22745.0,23233.0,23199.0,22745.0,PLX
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,16.89,25.85,17.16,16.89,PLX
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,1.5,1.7,1.52,1.5,PLX
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,0.52,0.74,0.55,0.52,PLX
Tỷ suất cổ tức,dividend_yield,0.04,0.04,3.4,3.51,PLX
Beta,beta,0.81,0.88,0.66,0.81,PLX
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,56.44,121.57,51.25,56.44,PLX
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,21.86,61.63,20.27,21.86,PLX
Tỷ suất lợi nhuận gộp biên,gross_margin,5.38,5.47,5.87,5.38,PLX
Tỷ lệ lãi EBIT,ebit_margin,1.26,0.77,1.34,1.26,PLX
Tỷ lệ lãi EBITDA,ebitda_net_revenue,1.66,1.52,1.85,1.66,PLX
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,0.84,0.31,0.85,0.84,PLX
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,2.14,0.45,2.26,2.41,PLX
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,3.57,1.73,3.63,3.57,PLX
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.68,0.17,0.66,0.68,PLX
ROE bình quân 4 quý gần nhất,roe_trailling,10.01,7.56,10.15,10.01,PLX
ROA bình quân 4 quý gần nhất,roa_trailling,3.02,2.54,3.03,3.02,PLX
Tăng trưởng  doanh thu thuần,net_revenue,30.02,-9.65,15.28,30.02,PLX
Tăng trưởng  lợi nhuận gộp,gross_profit,30.93,-20.51,4.49,30.93,PLX
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,234.61,-75.13,16.56,234.61,PLX
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,827.07,-87.57,7.37,827.07,PLX
Tăng trưởng tổng tài sản,total_assets,30.47,-0.86,5.78,30.47,PLX
Tăng trưởng nợ dài hạn,long_term_liabilities,14.91,-0.18,17.69,14.91,PLX
Tăng trưởng nợ phải trả,liabilities,50.97,0.19,8.7,50.97,PLX
Tăng trưởng vốn chủ sở hữu,owners_equity,0.78,-2.62,0.59,0.78,PLX
