item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3373.41,3216.96,3448.99,3373.41,SAB
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,19104.0,19965.0,17933.0,19104.0,SAB
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,13.4,15.2,14.21,13.4,SAB
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,2.37,2.45,2.73,2.37,SAB
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,9.01,10.79,9.19,9.01,SAB
Tỷ suất cổ tức,dividend_yield,0.11,0.08,6.12,11.06,SAB
Beta,beta,0.87,0.92,0.68,0.87,SAB
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,33.59,58.96,44.29,33.59,SAB
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,10.93,50.32,12.39,10.93,SAB
Tỷ suất lợi nhuận gộp biên,gross_margin,37.07,32.22,37.94,37.07,SAB
Tỷ lệ lãi EBIT,ebit_margin,26.46,17.78,20.18,26.46,SAB
Tỷ lệ lãi EBITDA,ebitda_net_revenue,29.76,20.83,22.35,29.76,SAB
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,21.81,13.76,16.37,21.81,SAB
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,5.74,3.17,4.85,6.17,SAB
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,7.01,4.06,5.64,7.01,SAB
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,4.22,2.44,3.32,4.22,SAB
ROE bình quân 4 quý gần nhất,roe_trailling,18.93,17.17,19.82,18.93,SAB
ROA bình quân 4 quý gần nhất,roa_trailling,13.35,12.56,13.74,13.35,SAB
Tăng trưởng  doanh thu thuần,net_revenue,-16.08,-19.11,-23.46,-16.08,SAB
Tăng trưởng  lợi nhuận gộp,gross_profit,4.75,-10.86,3.79,4.75,SAB
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,15.28,-21.54,10.76,15.28,SAB
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,21.57,-20.47,10.04,21.57,SAB
