item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,2335.45,2808.89,1785.27,2335.45,VIC
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,41723.0,41178.0,19584.0,41723.0,VIC
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,74.21,20.36,95.0,74.89,VIC
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,4.19,1.41,8.66,4.19,VIC
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,17.34,2.64,8.04,17.34,VIC
Tỷ suất cổ tức,dividend_yield,0.0,0.0,0.0,0.0,VIC
Beta,beta,1.18,0.96,1.12,1.18,VIC
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,72.38,33.38,81.51,72.38,VIC
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,25.75,21.92,33.09,25.75,VIC
Tỷ suất lợi nhuận gộp biên,gross_margin,-18.63,22.85,22.68,-18.63,VIC
Tỷ lệ lãi EBIT,ebit_margin,33.35,16.04,11.85,33.35,VIC
Tỷ lệ lãi EBITDA,ebitda_net_revenue,55.28,24.43,17.4,55.28,VIC
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,7.73,2.67,2.19,7.73,VIC
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,0.4,4.48,4.6,0.44,VIC
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,2.64,3.81,3.65,2.64,VIC
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.06,0.84,0.61,0.06,VIC
ROE bình quân 4 quý gần nhất,roe_trailling,6.33,7.97,9.46,6.33,VIC
ROA bình quân 4 quý gần nhất,roa_trailling,0.98,1.37,1.38,0.98,VIC
Tăng trưởng  doanh thu thuần,net_revenue,-37.73,286.66,150.08,-37.73,VIC
Tăng trưởng  lợi nhuận gộp,gross_profit,0.0,0.0,270.1,0.0,VIC
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,-14.47,196.0,104.63,-14.47,VIC
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,-87.91,-12.04,234.29,-87.91,VIC
Tăng trưởng tổng tài sản,total_assets,37.45,18.64,33.63,37.45,VIC
Tăng trưởng nợ dài hạn,long_term_liabilities,134.73,58.74,121.0,134.73,VIC
Tăng trưởng nợ phải trả,liabilities,47.63,24.17,41.46,47.63,VIC
Tăng trưởng vốn chủ sở hữu,owners_equity,-1.43,-0.19,-1.34,-1.43,VIC
