item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,3003.05,3348.13,3804.75,3003.05,VJC
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,41263.0,32915.0,42005.0,41263.0,VJC
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,43.16,28.37,54.93,43.16,VJC
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,3.14,2.89,4.98,3.14,VJC
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,4.53,2.87,4.22,4.53,VJC
Tỷ suất cổ tức,dividend_yield,0.0,0.0,0.0,0.0,VJC
Beta,beta,0.89,0.57,0.88,0.89,VJC
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,93.42,56.15,111.75,93.42,VJC
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,57.62,49.88,69.72,57.62,VJC
Tỷ suất lợi nhuận gộp biên,gross_margin,12.38,13.39,5.29,12.38,VJC
Tỷ lệ lãi EBIT,ebit_margin,7.84,9.17,5.55,7.84,VJC
Tỷ lệ lãi EBITDA,ebitda_net_revenue,9.47,10.32,6.42,9.47,VJC
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,1.89,3.57,1.74,1.89,VJC
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,1.32,3.67,2.08,1.32,VJC
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,1.74,2.49,1.9,1.74,VJC
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.28,0.65,0.4,0.28,VJC
ROE bình quân 4 quý gần nhất,roe_trailling,7.89,10.64,9.35,7.89,VJC
ROA bình quân 4 quý gần nhất,roa_trailling,1.54,1.89,1.82,1.54,VJC
Tăng trưởng  doanh thu thuần,net_revenue,-6.79,0.9,48.13,-6.79,VJC
Tăng trưởng  lợi nhuận gộp,gross_profit,-4.85,37.72,53.69,-4.85,VJC
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,-47.38,23.66,434.15,-47.38,VJC
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,-44.14,19.45,2084.46,-44.14,VJC
Tăng trưởng tổng tài sản,total_assets,22.89,15.07,40.13,22.89,VJC
Tăng trưởng nợ dài hạn,long_term_liabilities,40.51,42.41,39.47,40.51,VJC
Tăng trưởng nợ phải trả,liabilities,17.88,16.0,38.76,17.88,VJC
Tăng trưởng vốn chủ sở hữu,owners_equity,45.97,11.06,46.78,45.97,VJC
Tăng trưởng vốn điều lệ,charter_capital,9.23,0.0,9.23,9.23,VJC
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.15,0.07,0.24,0.15,VJC
Tỷ số thanh toán nhanh,quick_ratio,1.02,1.08,1.13,1.02,VJC
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)",quick_ratio_except_inventories_short_term_receivables_reference,0.22,0.19,0.29,0.22,VJC
Tỷ số thanh toán hiện hành (ngắn hạn),short_term_ratio,1.07,1.14,1.17,1.07,VJC
Khả năng thanh toán lãi vay,interest_coverage,1.43,2.03,1.55,1.43,VJC
Vòng quay phải thu khách hàng,receivables_turnover,1.79,1.27,2.1,1.79,VJC
Thời gian thu tiền khách hàng bình quân,days_of_sales_outstanding,203.77,287.79,173.5,203.77,VJC
Vòng quay hàng tồn kho,inventory_turnover,6.84,7.59,13.21,6.84,VJC
Thời gian tồn kho bình quân,days_of_inventory_on_hand,53.37,48.07,27.63,53.37,VJC
Vòng quay phải trả nhà cung cấp,payables_turnover,2.81,2.49,5.34,2.81,VJC
Thời gian trả tiền khách hàng bình quân,number_of_days_of_payables,130.01,146.8,68.39,130.01,VJC
Vòng quay tài sản cố định (Hiệu suất sử dụng tài sản cố định),fixed_asset_turnover,0.92,1.27,1.09,0.92,VJC
Vòng quay tổng tài sản (Hiệu suất sử dụng toàn bộ tài sản),total_asset_turnover,0.15,0.18,0.23,0.15,VJC
Vòng quay vốn chủ sở hữu,equity_turnover,0.7,1.03,1.19,0.7,VJC
Tỷ số Nợ ngắn hạn trên Tổng nợ phải trả,short_term_liabilities_to_total_liabilities,41.04,39.47,40.69,41.04,VJC
Tỷ số Nợ vay trên Tổng tài sản,debt_to_assets,45.87,43.73,49.48,45.87,VJC
Tỷ số Nợ trên Tổng tài sản,liabilities_to_assets,78.81,81.95,82.18,78.81,VJC
