item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,4159.65,4194.41,4502.58,4159.65,VNM
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,18160.0,18002.0,16499.0,18160.0,VNM
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,14.42,14.45,13.59,14.42,VNM
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,3.3,3.37,3.71,3.3,VNM
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,7.4,9.79,7.51,7.4,VNM
Tỷ suất cổ tức,dividend_yield,0.04,0.05,7.92,4.17,VNM
Beta,beta,0.52,0.63,0.52,0.52,VNM
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,41.35,68.22,39.07,41.35,VNM
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,26.02,54.47,25.73,26.02,VNM
Tỷ suất lợi nhuận gộp biên,gross_margin,41.8,40.28,40.45,41.8,VNM
Tỷ lệ lãi EBIT,ebit_margin,18.88,15.67,20.94,18.88,VNM
Tỷ lệ lãi EBITDA,ebitda_net_revenue,21.73,19.62,23.47,21.73,VNM
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,14.81,12.27,16.6,14.81,VNM
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,6.86,4.25,8.77,7.67,VNM
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,8.6,5.43,9.75,8.6,VNM
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,4.55,2.85,5.21,4.55,VNM
ROE bình quân 4 quý gần nhất,roe_trailling,26.37,26.63,28.9,26.37,VNM
ROA bình quân 4 quý gần nhất,roa_trailling,15.73,15.8,17.17,15.73,VNM
Tăng trưởng  doanh thu thuần,net_revenue,9.11,-8.35,10.06,9.11,VNM
Tăng trưởng  lợi nhuận gộp,gross_profit,10.71,-11.86,10.96,10.71,VNM
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,6.25,-27.89,31.54,6.25,VNM
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,5.13,-28.53,33.75,5.13,VNM
Tăng trưởng tổng tài sản,total_assets,-3.47,6.5,-3.15,-3.47,VNM
Tăng trưởng nợ dài hạn,long_term_liabilities,-3.48,-16.75,-25.55,-3.48,VNM
Tăng trưởng nợ phải trả,liabilities,-20.99,10.17,-0.24,-20.99,VNM
Tăng trưởng vốn chủ sở hữu,owners_equity,7.69,4.89,-4.68,7.69,VNM
Tăng trưởng vốn điều lệ,charter_capital,0.0,0.0,0.0,0.0,VNM
Tỷ số thanh toán bằng tiền mặt,cash_ratio,0.3,0.15,0.1,0.3,VNM
Tỷ số thanh toán nhanh,quick_ratio,1.87,1.85,1.59,1.87,VNM
"Tỷ số thanh toán nhanh  (Đã loại trừ HTK, Phải thu ngắn hạn - Tham khảo)",quick_ratio_except_inventories_short_term_receivables_reference,1.52,1.51,1.25,1.52,VNM
Tỷ số thanh toán hiện hành (ngắn hạn),short_term_ratio,2.24,2.26,1.96,2.24,VNM
Khả năng thanh toán lãi vay,interest_coverage,42.42,26.96,39.64,42.42,VNM
Vòng quay phải thu khách hàng,receivables_turnover,3.63,2.9,3.58,3.63,VNM
Thời gian thu tiền khách hàng bình quân,days_of_sales_outstanding,100.68,125.71,101.94,100.68,VNM
Vòng quay hàng tồn kho,inventory_turnover,1.48,1.22,1.54,1.48,VNM
Thời gian tồn kho bình quân,days_of_inventory_on_hand,247.07,299.27,236.55,247.07,VNM
Vòng quay phải trả nhà cung cấp,payables_turnover,2.52,1.98,2.73,2.52,VNM
Thời gian trả tiền khách hàng bình quân,number_of_days_of_payables,144.8,184.07,133.46,144.8,VNM
Vòng quay tài sản cố định (Hiệu suất sử dụng tài sản cố định),fixed_asset_turnover,1.32,1.04,1.34,1.32,VNM
Vòng quay tổng tài sản (Hiệu suất sử dụng toàn bộ tài sản),total_asset_turnover,0.31,0.24,0.31,0.31,VNM
Vòng quay vốn chủ sở hữu,equity_turnover,0.46,0.35,0.47,0.46,VNM
Tỷ số Nợ ngắn hạn trên Tổng nợ phải trả,short_term_liabilities_to_total_liabilities,97.76,97.65,98.36,97.76,VNM
Tỷ số Nợ vay trên Tổng tài sản,debt_to_assets,14.86,18.57,17.74,14.86,VNM
Tỷ số Nợ trên Tổng tài sản,liabilities_to_assets,31.83,31.61,35.32,31.83,VNM
Tỷ số Vốn chủ sở hữu trên Tổng tài sản,equity_to_assets,68.17,68.39,64.68,68.17,VNM
Tỷ số Nợ ngắn hạn trên Vốn chủ sở hữu,short_term_liabilities_to_equity,45.66,45.14,53.71,45.66,VNM
Tỷ số Nợ vay trên Vốn chủ sở hữu,debt_to_equity,21.8,27.15,27.42,21.8,VNM
Tỷ số Nợ trên Vốn chủ sở hữu,liabilities_to_equity,46.7,46.23,54.6,46.7,VNM
Tỷ số dòng tiền HĐKD trên doanh thu thuần,accrual_ratio_cf,0.0,-0.96,0.0,0.0,VNM
Khả năng chi trả nợ ngắn hạn từ dòng tiền HĐKD,cash_to_income,0.0,-0.73,0.0,0.0,VNM
Khả năng chi trả nợ ngắn hạn từ lưu chuyển tiền thuần trong kỳ,net_cash_flows_short_term_liabilities,0.0,1.83,0.0,0.0,VNM
Tỷ lệ dồn tích (Phương pháp Cân đối kế toán),accrual_ratio_balance_sheet_method,0.0,0.0,0.0,0.0,VNM
Tỷ lệ dồn tích (Phương pháp Dòng tiền),accrual_ratio_cash_flow_method,0.0,0.0,0.0,0.0,VNM
Dòng tiền từ HĐKD trên Tổng tài sản,cash_return_to_assets,0.0,-0.23,0.0,0.0,VNM
Dòng tiền từ HĐKD trên Vốn chủ sở hữu,cash_return_on_equity,0.0,-0.33,0.0,0.0,VNM
Dòng tiền từ HĐKD trên Lợi nhuận thuần từ HĐKD,cash_to_income_2,0.0,-6.39,0.0,0.0,VNM
Khả năng thanh toán nợ từ dòng tiền HĐKD,debt_coverage,0.0,-0.72,0.0,0.0,VNM
