item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,2602.77,2029.08,3023.72,2602.77,VPB
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,20109.25,19059.09,22722.13,20109.25,VPB
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,11.95,9.36,9.48,11.95,VPB
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,1.55,1.0,1.26,1.55,VPB
Tỷ suất cổ tức,dividend_yield,0.02,0.05,1.75,1.61,VPB
Beta,beta,1.21,1.05,1.31,1.21,VPB
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,4.67,2.61,4.94,4.84,VPB
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,0.64,0.41,0.65,0.64,VPB
Tỷ suất sinh lợi của Tài sản Có sinh lãi (YOEA),yield_on_earning_assets_yoea,2.31,2.36,2.44,2.31,VPB
Tỷ lệ chi phí hình thành Tài sản Có sinh lãi (COF),cost_of_funding_earning_assets_cof,1.17,1.12,1.26,1.17,VPB
Tỷ lệ thu nhập lãi thuần (NIM),net_interest_margin_nim,1.33,1.42,1.39,1.33,VPB
Tỷ lệ chi phí hoạt động/Tổng thu nhập HĐKD trước dự phòng (CIR),cost_income_ratio_cir,21.99,24.89,26.43,21.99,VPB
ROE bình quân 4 quý gần nhất,roe_trailling,14.04,11.53,15.62,14.04,VPB
ROA bình quân 4 quý gần nhất,roa_trailling,1.97,1.77,2.11,1.97,VPB
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,76.72,19.92,66.29,76.72,VPB
Tăng trưởng lợi nhuận sau thuế của CĐ ngân hàng mẹ,profit_after_tax_for_shareholders_of_the_parent_company,80.63,9.2,72.33,80.63,VPB
Tăng trưởng tổng tài sản,total_assets,37.19,20.88,36.4,37.19,VPB
Tăng trưởng vốn chủ sở hữu,owners_equity,12.17,5.79,22.41,12.17,VPB
Tăng trưởng vốn điều lệ,charter_capital,0.0,0.0,0.0,0.0,VPB
Tăng trưởng dư nợ cho vay,deposits_from_customers,41.09,25.28,36.23,41.09,VPB
Tăng trưởng huy động vốn khách hàng,deposits_from_customers_2,23.13,21.18,29.32,23.13,VPB
Tăng trưởng thu nhập lãi thuần,net_interest_income,23.9,17.95,27.09,23.9,VPB
Tăng trưởng dự phòng rủi ro tín dụng,provisions_for_loan_losses,0.84,0.51,0.52,0.84,VPB
Tăng trưởng thu phí dịch vụ thuần,net_fee_and_commission_income,108.44,-24.78,60.68,108.44,VPB
Tăng trưởng tổng thu nhập HĐKD trước dự phòng,operating_profit_before_provision_for_credit_losses,38.88,17.58,19.04,38.88,VPB
Tăng trưởng tổng chi phí HĐKD,operating_expenses,18.04,11.75,56.27,18.04,VPB
Dư nợ cho vay khách hàng/Tổng vốn huy động (LDR),outstanding_loans_customer_deposits,91.92,89.17,91.61,91.92,VPB
Dư nợ cho vay/Tổng tài sản Có,outstanding_loans_total_assets,76.08,73.43,74.9,76.08,VPB
Vốn chủ sở hữu/Tổng vốn huy động ,equity_deposits_from_customers,0.16,0.18,17.5,16.36,VPB
Vốn chủ sở hữu/Tổng tài sản Có,equity_total_assets,13.54,15.21,14.31,13.54,VPB
Dự phòng rủi ro tín dụng/Tổng dư nợ,loan_loss_provision_ratio,-0.02,-0.02,-1.88,-1.97,VPB
Tài sản Có sinh lãi/Tổng tài sản Có,earning_assets_total_assets,96.32,94.38,95.87,96.32,VPB
