item,item_id,2026-Q2,2025-Q4,2026-Q1,2025-Q4_1,ticker
Thu nhập trên mỗi cổ phần của 4 quý gần nhất (EPS),trailing_eps,2144.25,1844.2,2836.72,2144.25,VRE
Giá trị sổ sách của cổ phiếu (BVPS),book_value_per_share_bvps,20116.0,18967.0,21286.0,20116.0,VRE
Chỉ số giá thị trường trên thu nhập (P/E),pe_ratio,14.97,10.38,11.86,14.97,VRE
Chỉ số giá thị trường trên giá trị sổ sách (P/B),pb_ratio,1.6,1.01,1.58,1.6,VRE
Chỉ số giá thị trường trên doanh thu thuần (P/S),ps_ratio,32.4,20.42,33.07,32.4,VRE
Tỷ suất cổ tức,dividend_yield,0.0,0.0,0.0,0.0,VRE
Beta,beta,1.19,1.12,1.59,1.19,VRE
Giá trị doanh nghiệp trên lợi nhuận trước thuế và lãi vay (EV/EBIT),ev_ebit,40.43,27.8,22.24,40.43,VRE
"Giá trị doanh nghiệp trên lợi nhuận trước thuế, khấu hao và lãi vay (EV/EBITDA)",ev_ebitda,39.63,22.91,0.0,39.63,VRE
Tỷ suất lợi nhuận gộp biên,gross_margin,50.51,56.4,52.35,50.51,VRE
Tỷ lệ lãi EBIT,ebit_margin,84.1,76.22,152.49,84.1,VRE
Tỷ lệ lãi EBITDA,ebitda_net_revenue,84.6,92.47,152.74,84.6,VRE
Tỷ suất sinh lợi trên doanh thu thuần,net_margin,61.15,55.24,114.99,61.15,VRE
Tỷ suất lợi nhuận trên vốn chủ sở hữu bình quân (ROEA),roe,3.05,2.77,5.65,3.06,VRE
Tỷ suất sinh lợi trên vốn dài hạn bình quân (ROCE),return_on_capital_employed_roce,3.81,3.36,6.47,3.81,VRE
Tỷ suất sinh lợi trên tổng tài sản bình quân (ROAA),roa,2.3,2.12,4.34,2.3,VRE
ROE bình quân 4 quý gần nhất,roe_trailling,11.13,10.11,14.21,11.13,VRE
ROA bình quân 4 quý gần nhất,roa_trailling,8.45,7.74,10.89,8.45,VRE
Tăng trưởng  doanh thu thuần,net_revenue,8.34,-5.47,8.65,8.34,VRE
Tăng trưởng  lợi nhuận gộp,gross_profit,4.38,-4.22,0.75,4.38,VRE
Tăng trưởng lợi nhuận trước thuế ,profit_before_tax,53.87,7.94,143.79,53.87,VRE
Tăng trưởng lợi nhuận sau thuế của CĐ công ty mẹ,profit_after_tax_for_shareholders_of_the_parent_company,51.86,8.76,144.98,51.86,VRE
Tăng trưởng tổng tài sản,total_assets,15.21,14.14,10.96,15.21,VRE
Tăng trưởng nợ dài hạn,long_term_liabilities,14.13,22.32,4.8,14.13,VRE
